categoria,categoria_amplia
"Torres-García, Joaquín, -- 1874-1949 -- Criticism and interpretation",Arte
"Aesthetics, American -- 20th century",Filosofía
Art -- Philosophy -- History -- 20th century,Filosofía
New York (N.Y.) -- Description and travel,Viajes
"Torres-García, Joaquín, -- 1874-1949.",No es categoria
Toys -- Uruguay -- Exhibitions.,Arte
Public spaces,No es categoria
Discovery and exploration,Historia
Discoveries in geography,Historia
Candombe (Dance),Arte
British,No es categoria
Leisure,No es categoria
Nightlife,No es categoria
Restaurants,No es categoria
Outdoor recreation,No es categoria
Grocery shopping,No es categoria
Photographers,No es categoria
Voyages around the world,Viajes
Explorers,No es categoria
Antiquities,Historia
Excavations (Archaeology),Historia
Underwater archaeology,Historia
History - GEOGRAPHIC NAME TO BE ESTABLISHED,Historia
"Mercado del Puerto (Montevideo, Uruguay)",No es categoria
Markets,No es categoria
Montevideo (Uruguay) -- History,Historia
Uruguay -- Foreign relations -- Great Britain,Política
Great Britain -- Foreign relations -- Uruguay,Política
Uruguay -- History,Historia
Candombe (Dance) -- Uruguay,Arte
ADES (Association : Uruguay),No es categoria
Search and rescue operations -- Uruguay.,No es categoria
Lifeboat service -- Uruguay.,No es categoria
Lighthouses -- Uruguay.,No es categoria
Photography -- Uruguay -- History.,Arte
Decentralization in government,Política
Artists' books,Arte
Graphic design (Typography),Arte
Erotica,Ficción
"Erotic literature, Hispanic American (Spanish)",Ficción
Spanish Erotic literature,Ficción
Erotic art,Arte
Design & Drafting,Arte
"Design, Drafting, Drawing & Presentation",Arte
Audio-visual materials,No es categoria
Access control,No es categoria
Frente Amplio (Uruguay) -- History,Política
Politisches Denken,Política
Homicide investigation,No es categoria
Nurses,No es categoria
Serial murders,No es categoria
Eastern,No es categoria
Eastern - General,No es categoria
Occultism,No es categoria
Spirituality - General,No es categoria
Cults,No es categoria
Unexplained Phenomena,No es categoria
Unidentified flying objects.,No es categoria
Social movements,Sociología
"COVID-19 Pandemic, 2020-",No es categoria
Right-wing extremists,No es categoria
Paramilitary forces,No es categoria
Poverty,Sociología
Social policy,Política
Working class,Sociología
Riots -- Argentina -- History -- 20th century,Historia
Unemployed -- Argentina -- Political activity -- History -- 20th century,Historia
Argentina -- Social conditions -- 1983-,Sociología
Argentina -- Politics and government -- 1983-2002,Política
Falange Española de las J.O.N.S.,No es categoria
Falange Española Tradicionalista y de las J.O.N.S.,No es categoria
Evacuation of civilians,No es categoria
Refugee children,No es categoria
Popular culture,Sociología
Uruguayan poetry.,Poesía
Syndicalists -- Uruguay -- Biography,Biografía / Autobiografía / Memorias
Politics in literature,Literatura / Estudios literarios
Language and languages in literature,Literatura / Estudios literarios
Translations into English,No es categoria
Good and evil,No es categoria
Theodicy,Filosofía
Social ethics,Filosofía
United States - 20th Century,Historia
Uruguayan literature -- 20th century.,Literatura / Estudios literarios
Uruguayan literature -- 20th century -- History and criticism.,Literatura / Estudios literarios
Customs & Traditions,Sociología
Twelve-Step Programs,No es categoria
History - General,Historia
"Agustini, Delmira, -- 1886-1914",No es categoria
"Agustini, Delmira, -- 1886-1914 -- Correspondence",Biografía / Autobiografía / Memorias
"Poets, Uruguayan -- Correspondence",Biografía / Autobiografía / Memorias
Formas y gn eros literarios,Literatura / Estudios literarios
Literatura,Literatura / Estudios literarios
Latin American Poets,No es categoria
Latin American poetry -- 20th century,Poesía
Motion pictures and literature,Literatura / Estudios literarios
Children's Books - Young Adult Fiction,Infantil / Juvenil
"Mysteries, Espionage, & Detective Stories",Ficción
Children's 12-Up - Literature - Classics,Infantil / Juvenil
Nouvelles uruguayennes,Cuento
Detective and mystery stories,Ficción
Nostalgia,No es categoria
Clubs,No es categoria
Bibliography,No es categoria
Premio FIL de Literatura en Lenguas Romances,No es categoria
Animals - General,No es categoria
Nature & the Natural World - General,No es categoria
Performing Arts - General,Arte
Tangos,Arte
Spanish Songs,Arte
Textual Criticism,Literatura / Estudios literarios
Childhood and youth,No es categoria
Antihéroes,No es categoria
Antiheroes,No es categoria
BIBLIOGRAFIAS,No es categoria
PROSA URUGUAYA,Literatura / Estudios literarios
POESIAS URUGUAYAS,Poesía
"Short stories, Spanish",Cuento
Spanish prose literature -- 21st century,Literatura / Estudios literarios
Books in literature,Literatura / Estudios literarios
Poesía uruguaya,Poesía
Literatura uruguaya,Literatura / Estudios literarios
Latin American Literature,Literatura / Estudios literarios
Short Story,Cuento
"Erotic stories, Uruguayan.",Ficción
Animals - Zoos,No es categoria
Children's 4-8 - Children's 4-8,Infantil / Juvenil
Political Freedom & Security - Human Rights,Derecho
Girls & Women,No es categoria
Social Issues - Peer Pressure,No es categoria
Social Situations - Peer Pressure,No es categoria
Sports & Recreation - Soccer,Deportes
Rock groups -- Fiction.,Ficción
Teenagers -- Fiction.,Ficción
Conjuntos de rock -- Ficción.,Ficción
Adolescentes -- Ficción.,Ficción
Social Issues - Adolescence,No es categoria
Family Relationships,No es categoria
Frogs,No es categoria
Boredom,No es categoria
Bolivia -- History -- Fiction.,Ficción
Bolivian Authors,No es categoria
Cultural policy,Política
Travelers,No es categoria
"Palacio Quemado (La Paz, Bolivia)",No es categoria
Communication in politics,Comunicación
Communication in economic development,Comunicación
Intercultural communication,Comunicación
Communication and culture,Comunicación
Research,No es categoria
"Beltran, Luis Ramiro",No es categoria
"Beltrán, Luis Ramiro",No es categoria
Communication,Comunicación
Universidad Mayor de San Andrés,Educación
Bolivian literature -- 21st century.,Literatura / Estudios literarios
Bolivia -- Literary collections.,Literatura / Estudios literarios
Bolivia -- Social conditions.,Sociología
Ethnic costume,No es categoria
"Carnaval de Oruro (Oruro, Bolivia) fast (OCoLC)fst01778273",No es categoria
Etymology,Lengua / Lingüística
Names,Lengua / Lingüística
Monuments,No es categoria
Literary prizes,No es categoria
Mass media and public opinion,Comunicación
Relations with women,No es categoria
Indian wood-carving,Arte
Indian sculpture,Arte
Wood sculpture,Arte
Prehistoric Antiquities,Historia
Bolivian literature,Literatura / Estudios literarios
Bolivian Short stories,Cuento
Bolivian fiction,Novela
Incas,No es categoria
Inca mythology,No es categoria
Criminal procedure,Derecho
"Short stories, Hispanic American (Spanish)",Cuento
"Short stories, Spanish American",Cuento
Anti-globalization movement,No es categoria
Asesinato,No es categoria
Adolescentes,No es categoria
Novela boliviana,Novela
Teenagers,No es categoria
"Bolaño, Roberto, -- 1953-2003 -- Criticism and interpretation",Literatura / Estudios literarios
Chilean literature -- History and criticism,Literatura / Estudios literarios
"Palacio Quemado (La Paz, Bolivia) -- Fiction.",Ficción
Brothers -- Fiction.,Ficción
Suicide victims -- Family relationships -- Fiction.,Ficción
La Paz (Bolivia) -- Fiction.,Ficción
Bolivian Fantasy fiction,Ficción
Indians of Mexico,No es categoria
Aymara Indians,No es categoria
Political activity,Política
Singers,No es categoria
Bolivia -- Politics and government -- 20th century,Política
Bolivian wit and humor,No es categoria
Political scientists,No es categoria
Political activists,No es categoria
Composition (Language arts),Educación
Rhetoric,Lengua / Lingüística
Creative writing,Literatura / Estudios literarios
"Flores Santos, Jenaro, -- 1942-",No es categoria
Confederación Sindical Unica de Trabajadores Campesinos de Bolivia.,No es categoria
Indian activists -- Bolivia.,No es categoria
Labor leaders -- Bolivia.,No es categoria
Indians of South America -- Bolivia -- Politics and government.,Política
Constitutional law.,Derecho
Constitutions.,Derecho
Constitutional history.,Historia
Ethnomusicology,Arte
Access to the sea (International law),Derecho
Audio Adult: Business,No es categoria
Peruvian literature,Literatura / Estudios literarios
Christianity,Religión
Church history,Religión
Syncretism (Religion),Religión
Mestizos,No es categoria
Racism,No es categoria
Race relations,Sociología
Social classes,Sociología
Women prisoners,No es categoria
Establecimiento Penal de Mujeres de Chorrillos,No es categoria
Temples,No es categoria
Quipu,No es categoria
Indigenes Volk,No es categoria
Knotenschrift,No es categoria
In motion pictures,Arte
Digital cinematography,Arte
Sound motion pictures -- Peru -- History,Arte
Motion pictures -- Peru -- History,Arte
Silent films -- Peru -- History -- 20th century,Arte
Motion pictures -- Peru -- History -- 20th century,Arte
Peasant uprisings,Historia
Land reform,Política
Republicanism,Política
Mass media -- Political aspects -- Peru,Comunicación
Mass media -- Influence,Comunicación
Peruvians -- Spain -- Fiction,Ficción
Novela peruana,Novela
Literature & Fiction / Contemporary,Ficción
Thrillers,Ficción
Cities and towns in literature,Literatura / Estudios literarios
Imaginary places in literature,Literatura / Estudios literarios
Educational change,Educación
Constitutions -- Peru.,Derecho
Constitutional law -- Peru.,Derecho
Constitutional history -- Peru.,Historia
Indian textile fabrics -- Peru.,Arte
Indian textile fabrics -- Amazon River Region.,Arte
Textile crafts -- Peru.,Arte
Textile crafts -- Amazon River Region.,Arte
Indians of South America -- Clothing -- Peru.,No es categoria
Indians of South America -- Clothing -- Amazon River Region.,No es categoria
Boats,No es categoria
Governors,No es categoria
Incas -- Biography.,Biografía / Autobiografía / Memorias
"Pizarro, Francisco, -- ca. 1475-1541.",No es categoria
Explorers -- Peru -- Biography.,Biografía / Autobiografía / Memorias
Explorers -- Spain -- Biography.,Biografía / Autobiografía / Memorias
Governors -- Peru -- Biography.,Biografía / Autobiografía / Memorias
America -- Discovery and exploration -- Spanish.,Historia
"Peru -- History -- Conquest, 1522-1548.",Historia
Indians of South America -- Antiquities,Historia
Indians -- Origin,No es categoria
Peru -- History -- To 1548,Historia
Health & Fitness,No es categoria
"Health, Mind & Body / Sex",No es categoria
Sexuality,No es categoria
Amahuaca Indians,No es categoria
Hallucinogenic drugs and religious experience,No es categoria
Incas -- History,Historia
Peruvian Poets,No es categoria
Indians in literature,Literatura / Estudios literarios
Discurso en loor de la poesía.,Poesía
Poetry -- History and criticism.,Literatura / Estudios literarios
Television,Comunicación
Television producers and directors,Comunicación
Television broadcasting,Comunicación
Secret service,No es categoria
Peruvian Participation,No es categoria
British Espionage,No es categoria
Women spies,No es categoria
German Prisoners and prisons,No es categoria
Peruvians,No es categoria
Peruvian Personal narratives,Biografía / Autobiografía / Memorias
Capitalism -- Peru.,Economía
Social change -- Peru.,Sociología
Peru -- Economic conditions -- 1968-,Economía
Sendero Luminoso (Guerrilla group) -- History.,Historia
Student movements -- Peru -- Ayacucho.,Historia
Peru -- History -- 1968-1980.,Historia
Ayacucho (Peru) -- Politics and government.,Política
Restorative justice,Derecho
Anthropology,Sociología
Arts and society,Arte
Anthropologists,No es categoria
Social change,Sociología
Cultural pluralism,Sociología
Group identity,Sociología
Rural-urban migration,Sociología
Migración interna,Sociología
Identidad cultural,Sociología
Diversidad cultural,Sociología
Interculturalidad,Sociología
Anthropology -- Peru -- History -- 20th century,Sociología
Anthropology -- Latin America,Sociología
Collective memory,Sociología
Peru. Comisión de la Verdad y Reconciliación,No es categoria
Truth commissions,No es categoria
Peru,No es categoria
Ethnology,Sociología
Study and teaching,Educación
"Fujimori, Alberto.",No es categoria
"Montesinos Torres, Vladimiro.",No es categoria
Communication -- Political aspects -- Peru.,Comunicación
Memory -- Political aspects -- Peru.,No es categoria
Peru -- Politics and government -- 1980-,Política
Sendero Luminoso (Guerrilla group),No es categoria
Student movements,Historia
Lexicography,Lengua / Lingüística
Sociolinguistics,Lengua / Lingüística
"Vallejo, César, -- 1892-1938 -- Criticism and interpretation",Literatura / Estudios literarios
Cajón (Musical instrument),Arte
Spanish language -- Noun,Lengua / Lingüística
Economic forecasting,Economía
Natural resources,Economía
Environmental conditions,Ciencia
Management,Economía
Infrastructure (Economics),Economía
Environmental impact analysis,Ciencia
Informal sector (Economics) -- Peru.,Economía
Peru -- Economic conditions.,Economía
Copyright -- Motion pictures -- Peru,Derecho
Piracy (Copyright) -- Peru,Derecho
DVD-Video discs -- Peru,No es categoria
"Eielson, Jorge Eduardo -- Interviews.",Biografía / Autobiografía / Memorias
Artists -- Peru -- Interviews.,Biografía / Autobiografía / Memorias
"Eielson, Jorge Eduardo",No es categoria
Modern Arts,Arte
Sermons,Religión
Spanish Sermons,Religión
Quechua drama,Teatro
Quechua language,Lengua / Lingüística
Social conflict,Sociología
Conditions sociales,Sociología
Maynas (Peru) -- History.,Historia
Peru -- History -- 1548-1820.,Historia
Diplomatic relations,Política
Acta Presidencial de Brasilia,No es categoria
Acta Presidencial de Brasilia (1998 October 26),No es categoria
"Mariátegui, José Carlos, 1894-1930.",No es categoria
Communist International.,No es categoria
Communism -- Latin America.,Política
Reviews,No es categoria
Motion picture producers and directors,Comunicación
Film,Arte
"Short stories, Peruvian",Cuento
Peruvian fiction,Novela
Gewalt,No es categoria
Early works to 1800,No es categoria
Europe - Spain & Portugal,No es categoria
Foreign Language Study-Spanish,Lengua / Lingüística
History / Latin America,Historia
History-Europe - Spain & Portugal,Historia
Unión (Corvette),No es categoria
"War of the Pacific, 1879-1884 -- Sources",Historia
Logbooks -- Peru -- History -- 19th century,Historia
"Peru -- History, Naval -- 19th century -- Sources",Historia
Banks and banking -- Peru -- History -- 20th century,Economía
Banks and banking -- Peru -- History -- 21st century,Economía
Indigenous peoples,No es categoria
Indians of Central America,No es categoria
Child soldiers,No es categoria
Inkas,No es categoria
Reyes y soberanos,No es categoria
Literatura peruana,Literatura / Estudios literarios
Quechua poetry,Poesía
Poesía quechua,Poesía
Resistencia indígena,No es categoria
Apu Inka Atawallpaman,No es categoria
Peru -- Politics and government -- 1829-1919.,Política
Peru -- Social conditions.,Sociología
Anarchism,Política
Militarism,Política
"González Prada, Manuel, -- 1844-1918 -- Political and social views",Política
Peru -- Politics and government -- 1829-1919,Política
Shamanism,No es categoria
Magic,No es categoria
Shamans,No es categoria
Peruvian Short stories,Cuento
Hispanic American fiction (Spanish),Novela
"Children's poetry, Peruvian.",Poesía
Peruvian fiction -- 20th century -- History and criticism,Literatura / Estudios literarios
Politieke delicten,No es categoria
Corruptie,No es categoria
Olie-industrie,Economía
Spionage,No es categoria
Petróleos del Perú,No es categoria
Peruvian Pottery,Arte
Constitutional law,Derecho
International economic relations,Economía
Executive power -- Chile -- Congresses.,Política
Legislative power -- Chile -- Congresses.,Política
Separation of powers -- Chile -- Congresses.,Política
Chile -- Politics and government -- Congresses.,Política
Mathematics and literature,Literatura / Estudios literarios
Black-and-white photography,Arte
Film criticism,Arte
"Rossellini, Roberto, -- 1906-1977",No es categoria
Viaggio in Italia (Motion picture),Arte
Movimiento Revolucionario Túpac Amaru,No es categoria
Embassy takeovers -- Peru -- Lima,No es categoria
Hostages -- Peru -- Lima,No es categoria
Terrorism -- Peru -- Lima,No es categoria
Creoles,No es categoria
Women mystics,No es categoria
Black Women,No es categoria
Purgatory,No es categoria
Excavations (Archaeology) -- Peru,Historia
Peru -- Antiquities,Historia
Quechua literature,Literatura / Estudios literarios
Writing,Lengua / Lingüística
National security -- Southern Cone of South America,Política
International relations,Política
Geopolitics -- Southern Cone of South America,Política
Southern Cone of South America -- Foreign relations,Política
Chachapoya Indians,No es categoria
Mochica Indians.,No es categoria
Indian art -- South America.,Arte
Indians of South America -- Peru -- Art.,Arte
Peru -- Antiquities.,Historia
Verse satire,Poesía
Peruvian Satire,No es categoria
Peruvian Cooking,Gastronomía
Cooks,No es categoria
Experimental Literature,Literatura / Estudios literarios
Avant-garde (Aesthetics),Arte
Food in art,Arte
Still-life painting,Arte
Peruvian Painting,Arte
"Painting, Peruvian -- 20th century.",Arte
Indian reservations,No es categoria
Mashco Indians,No es categoria
Machiguenga Indians,No es categoria
Piro Indians (Peru),No es categoria
Chachapoya Indians -- Antiquities.,Historia
Chachapoya Indians -- Antiquities -- Pictorial works.,Historia
Chachapoyas (Peru : Province) -- Antiquities.,Historia
Chachapoyas (Peru : Province) -- Antiquities -- Pictorial works.,Historia
Chicha -- Peru,No es categoria
Indians of South America -- Alcohol use -- Peru,No es categoria
Peru -- Social life and customs,Sociología
Admirals,No es categoria
Peru. Marina,No es categoria
"Plaza de Acho (Lima, Peru) -- History.",Historia
Bull rings -- Peru -- Lima -- History.,Historia
Foreign trade regulation,Economía
Trade regulation,Economía
Korruption,No es categoria
Politischer Wandel,Política
Condiciones sociales,Sociología
Condiciones económicas,Economía
United States -- Description and travel,Viajes
United States -- Civilization,No es categoria
Representative government and representation,Política
Peruvian drama,Teatro
Peruvian drama -- 20th century -- History and criticism,Literatura / Estudios literarios
Relations with Peruvians,No es categoria
Reparations for historical injustices,No es categoria
Military government -- Peru -- History,Historia
Militarism -- Peru -- History,Historia
"Peru -- History -- War of Independence, 1820-1829",Historia
Folk musicians,No es categoria
Aymara Folk songs,Arte
Siku,Arte
Local elections,Política
Municipal government,Política
Citizen participation,Política
Voting -- Chile,Política
Elections -- Chile,Política
"Lagos Escobar, Ricardo",No es categoria
Chile -- Politics and government -- 1988-,Política
Election,Política
Presidential candidates,Política
Political campaigns,Política
Biblioteca Nacional (Peru),No es categoria
Rare books,No es categoria
Early printed books,No es categoria
Postage stamps,No es categoria
National characteristics,No es categoria
"War of the Pacific, 1879-1884",Historia
Chilean Short stories,Cuento
"Influence (Literary, artistic, etc.)",No es categoria
War of the Pacific (1879-1884) fast (OCoLC)fst01170524,Historia
Spy stories,Ficción
United States. Central Intelligence Agency,No es categoria
Latin Americans in literature,Literatura / Estudios literarios
Literary historians,No es categoria
"Vargas Llosa, Mario, -- 1936- -- Criticism and interpretation.",Literatura / Estudios literarios
Experimental poetry,Poesía
Polyrhythm,No es categoria
"Trials, litigation",Derecho
Trials (Crimes against humanity),Derecho
Trials (Political crimes and offenses),Derecho
Criminal Evidence,Derecho
"Polar Ugarteche, Mario, -- 1912-1988.",No es categoria
Christian democracy -- Peru.,Política
Peru -- Politics and government -- 20th century.,Política
Quarantine,No es categoria
Cartoons and comics,No es categoria
Rock musicians,No es categoria
Soda Stéreo (Musical group),No es categoria
Generals,No es categoria
Campaigns,No es categoria
Military campaigns,Historia
War of the Pacific (1879-1884) fast (uri) http://id.worldcat.org/fast/fst01170524,Historia
Short story,Cuento
Violence in women,No es categoria
Dancers,No es categoria
Bailarines,No es categoria
Social problems,No es categoria
Corruption,No es categoria
Pintores franceses (Angrand),No es categoria
Catalogues raisonnés,No es categoria
Catálogos,No es categoria
Pintura francesa,Arte
"Rivera Martínez, Edgardo, -- 1933-",No es categoria
Amazonas (Peru) -- History,Historia
Amazonas (Peru) -- Description and travel,Viajes
Amazon River Region -- History,Historia
Amazon River Region -- Description and travel,Viajes
"Revista americana (Lima, Peru) -- History",Comunicación
Peruvian periodicals -- History -- 19th century,Comunicación
Convents,No es categoria
Cultural relations,No es categoria
Teenage girls,No es categoria
Female friendship,No es categoria
Theater -- Peru -- History,Teatro
Performing arts -- Peru -- History,Arte
Chinese,No es categoria
Peppers,No es categoria
Food habits,No es categoria
Nutritional anthropology,Sociología
Cooking (Peppers),Gastronomía
Food habits -- Peru.,No es categoria
Tamales -- Peru.,Gastronomía
"Cookery, Peruvian.",Gastronomía
Food service -- Peru,Gastronomía
"Cookery, Peruvian",Gastronomía
Peddling -- Peru,No es categoria
Food habits -- Peru,No es categoria
Small business -- Peru,Economía
Blacks -- Peru,No es categoria
Peru -- Race relations,Sociología
Huaynos,Arte
Peruvian essays,Ensayo
Littérature péruvienne,Literatura / Estudios literarios
Histoire et critique,Literatura / Estudios literarios
Essais péruviens,Ensayo
Lima,No es categoria
Documentary photography,Arte
Portrait photography,Arte
"Scorza, Manuel",No es categoria
"Scorza, Manuel -- Family",No es categoria
"Scorza, Manuel -- Friends and associates",No es categoria
"Authors, Peruvian -- 20th century -- Biography",Biografía / Autobiografía / Memorias
"Poets, Peruvian -- 20th century -- Biography",Biografía / Autobiografía / Memorias
Psychological,No es categoria
Spanish American poetry -- 20th century -- History and criticism,Literatura / Estudios literarios
Peruvian poetry -- 20th century -- History and criticism,Literatura / Estudios literarios
Poetry -- 20th century -- History and criticism,Literatura / Estudios literarios
Composition and exercises,Educación
Dialects,Lengua / Lingüística
English,Lengua / Lingüística
Quechua,Lengua / Lingüística
English language,Lengua / Lingüística
Quechua language -- Textbooks for foreign speakers -- Spanish.,Lengua / Lingüística
War of Independence (Peru : 1820-1829) fast (OCoLC)fst01355292 (uri) http://id.worldcat.org/fast/fst01355292,Historia
Motion picture industry -- Peru,Arte
Freedom of information,No es categoria
Information policy,No es categoria
Liberalism -- Latin America,Política
Democracy -- Latin America,Política
Latin America -- Politics and government -- 1980-,Política
Poetry of places,Poesía
"Exiles' writings, Peruvian.",Literatura / Estudios literarios
Mexican literature,Literatura / Estudios literarios
Soldiers,No es categoria
"Arica, Battle of, Arica, Chile, 1880",Historia
Corruption -- Peru -- Congresses.,No es categoria
Political corruption -- Peru -- Congresses.,Política
Housing development,No es categoria
Physicians,No es categoria
Peruvian Verse satire,Poesía
Malpractice,No es categoria
Physicians in literature,No es categoria
State-sponsored terrorism,No es categoria
Scientists,No es categoria
Emblems,No es categoria
Peru -- Boundaries -- Ecuador.,No es categoria
Ecuador -- Boundaries -- Peru.,No es categoria
Journalism -- Peru -- History,Comunicación
Creative ability,No es categoria
Political violence in art,Arte
Students,No es categoria
Estudiantes,No es categoria
Crimen contra,No es categoria
"Universidad Nacional de Educación ""Enrique Guzmán y Valle""",Educación
Universidad Nacional Enrique Guzmán y Valle (Chosica),Educación
Peruvian Sculpture,Arte
"Wiesse, Ricardo, -- 1954- -- Exhibitions",Arte
"Wiesse, Ricardo, -- 1954- -- Catalogs.",Arte
"Wiesse, Ricardo, -- 1954- -- Written works.",No es categoria
Librarians,No es categoria
Journalists -- Peru -- Biography.,Biografía / Autobiografía / Memorias
Journalism -- Peru -- History -- 20th century.,Comunicación
"Cáceres, Andrés Avelino, -- 1836-1923",No es categoria
Ate-Vitarte (Peru) -- History -- 19th century,Historia
Modern Literature,Literatura / Estudios literarios
"Authors, Peruvian -- Correspondence",Biografía / Autobiografía / Memorias
Installations (Art),Arte
Art and photography,Arte
Photography in art,Arte
Video art,Arte
"Children's stories, Spanish American",Infantil / Juvenil
Escritores peruanos,No es categoria
Entrevistas,Biografía / Autobiografía / Memorias
Autores peruanos,No es categoria
Southern States -- Civilization -- 20th century.,No es categoria
Cinéma,Arte
Comptes rendus,No es categoria
"Varela, Blanca.",No es categoria
Educational anthropology,Educación
"Arguedas, Jose Maria",No es categoria
Todas las sangres,No es categoria
"Arguedas, José María",No es categoria
"Arguedas, José María -- Criticism and interpretation",Literatura / Estudios literarios
Escritores peruanos (Arguedas),No es categoria
Cuentos peruanos,Cuento
Cuentos de costumbres,Cuento
Indian authors,No es categoria
"Ribeyro, Julio Ramón, -- 1929- -- Criticism and interpretation.",Literatura / Estudios literarios
"Ribeyro, Julio Ramón, -- 1929- -- Crítica e interpretación.",Literatura / Estudios literarios
Peruvian fiction -- 20th century,Novela
"Ribeyro, Julio Ramón, 1929- -- Interviews",Biografía / Autobiografía / Memorias
"Authors, Peruvian -- 20th century -- Interviews",Biografía / Autobiografía / Memorias
Small presses,No es categoria
Adaptations,No es categoria
Universidad Ricardo Palma. Teatro,Teatro
Universidad Ricardo Palma,Educación
Legends -- Peru -- Huancavelica,Leyenda
Huancavelica (Peru) -- History -- Anecdotes,Historia
Legends -- Peru,Leyenda
Peru -- History,Historia
Literature: History & Criticism,Literatura / Estudios literarios
Civil service,No es categoria
Mystery & Detective - General,Ficción
"Science Fiction, Fantasy, & Magic",Ficción
Literature & Fiction / General,Ficción
Feminism,No es categoria
"Eichmann, Adolf, -- 1906-1962.",No es categoria
"World War, 1939-1945 -- Atrocities.",Historia
War criminals -- Germany -- Biography.,Biografía / Autobiografía / Memorias
Exiles -- Argentina -- Biography.,Biografía / Autobiografía / Memorias
Cold cases (Criminal investigation),No es categoria
Poor children,No es categoria
Argentine wit and humor,No es categoria
Periodicals,Comunicación
Pictorial Argentine wit and humor,No es categoria
Argentine periodicals,Comunicación
Argentine Poets,No es categoria
Argentine poetry,Poesía
Argentine Suspense fiction,Ficción
Argentine Detective and mystery stories,Ficción
Argentine literature,Literatura / Estudios literarios
Shrines,No es categoria
"Chiappe, François, -- 1920-",No es categoria
Drug traffic -- Argentina,No es categoria
Heroin industry -- Argentina,No es categoria
Drug traffic -- France -- Corsica,No es categoria
"Fantasy fiction, Peruvian.",Ficción
"Short stories, Peruvian.",Cuento
Peruvian fiction -- 20th century.,Novela
Frente de Izquierda y de los Trabajadores (Argentina),Política
Political Process - General,Política
Politics - Current Events,Política
Sex in literature,No es categoria
Sadomasochism in literature,No es categoria
Autobiographical fiction,Ficción
Fantasy literature,Ficción
Myth in literature,Literatura / Estudios literarios
"Literature -- History and criticism -- Theory, etc.",Literatura / Estudios literarios
Literature -- Philosophy.,Literatura / Estudios literarios
"Short stories, Argentine -- Argentina -- Tucumán.",Cuento
Argentine fiction -- 20th century.,Novela
Argentine fiction -- 21st century.,Novela
Italian poetry,Poesía
18.29 Italian literature,No es categoria
War,No es categoria
Democratization,Política
Argentines -- Travel -- Soviet Union.,Viajes
Argentines -- Travel -- China.,Viajes
Argentines -- Travel -- Cuba.,Viajes
Revolutions -- History -- 20th century.,Historia
"National characteristics, Argentine",No es categoria
Collective memory -- Argentina -- Pampas,Sociología
Gauchos,No es categoria
Pampas (Argentina) -- Civilization -- Philosophy,No es categoria
"Hernández, José, 1834-1886.",No es categoria
Gauchos.,No es categoria
Sisters,No es categoria
Sœurs,No es categoria
Amitié,No es categoria
Shoes,No es categoria
Schools,Educación
Adventures and adventurers,No es categoria
Écoles,Educación
"Romans, nouvelles, etc. pour la jeunesse",Infantil / Juvenil
Juvenile Folk Tales / Mythology / Fables,Infantil / Juvenil
Children's 4-8 - Fiction - Fantasy,Infantil / Juvenil
"Legends, Myths, & Fables - General",No es categoria
Nonfiction,No es categoria
War of Independence (Argentina : 1810-1817),Historia
Anniversaries,No es categoria
"Themes, motives",No es categoria
Indexes,No es categoria
Biblioteca popular de Buenos Aires,No es categoria
Geographical Names,No es categoria
Idioms,Lengua / Lingüística
Terms and phrases,Lengua / Lingüística
Philosophy & Social Aspects,Filosofía
Mate (Tea) -- Dictionaries -- Spanish.,No es categoria
Mate plant -- Argentina -- Dictionaries -- Spanish.,No es categoria
Spanish language -- Provincialisms -- Argentina -- Dictionaries.,Lengua / Lingüística
Spanish language -- 19th century -- Dictionaries.,Lengua / Lingüística
Police,No es categoria
Argentine Authors,No es categoria
Cuentos argentinos,Cuento
Autores argentinos,No es categoria
Críticia e interpretación,Literatura / Estudios literarios
"Falú, Eduardo.",No es categoria
"Bertolé, Emilia, -- 1896-1949 -- Portraits.",Arte
Children's All Ages - Fiction - General,Infantil / Juvenil
School & Education,Educación
Readers - Beginner,Educación
"Bocca, Julio",No es categoria
"Bioy Casares, Adolfo",No es categoria
"Borges, Jorge Luis",No es categoria
Quotations,No es categoria
Animals - Dogs,No es categoria
Family vacations,No es categoria
Beaches,No es categoria
Vacations,No es categoria
Vacances familiales,No es categoria
Plages,No es categoria
Vacaciones,No es categoria
Playas,No es categoria
Questions and answers,No es categoria
Juvenile Fiction / General,Infantil / Juvenil
Humorous stories,No es categoria
Readers - Chapter Books,Educación
Educational Psychology,Psicología
Massage & Reflexotherapy,Salud
Physical Medicine & Rehabilitation,Salud
Consumer Health,Salud
Elementary,Educación
"Freud, Sigmund, -- 1856-1939.",No es categoria
Psychoanalysis.,Psicología
Psychology -- Dictionaries -- Spanish.,Psicología
Religion - Commentaries / Reference,Religión
"Criticism, interpretation",No es categoria
Bible,Religión
Translators,No es categoria
Translating and interpreting,Lengua / Lingüística
Spaans,No es categoria
Vertalen,No es categoria
Buildings in art,Arte
Digitally printed materials,No es categoria
Science Fiction - General,Ficción
Fiction - Science Fiction,Ficción
Gautama Buddha.,No es categoria
Gautama Buda.,No es categoria
Juventud,No es categoria
Conduct of life,No es categoria
Etica,Filosofía
Success,No es categoria
Youth,No es categoria
Leadership,No es categoria
Conducta (Ética),Filosofía
Liderazgo,No es categoria
Exito,No es categoria
Motivational & Inspirational,No es categoria
