Obra,Relación,Tema
Historiografía de la reflexión sintáctica,tiene_como_tema,Syntax
Historia de la prensa en Iberoamérica,tiene_como_tema,Press -- Latin America -- History -- 19th century -- Congresses.
El hombre sin cabeza,tiene_como_tema,Drug traffic -- Mexico
"Homenajes: a Sor Juana, a López Velarde, a José Gorostiza",tiene_como_tema,"Juana Inés de la Cruz, -- Sister, -- 1651-1695."
El ocaso de la nación dominicana,tiene_como_tema,Pronósticos sociales
Daniel Cosio Villegas,tiene_como_tema,Biographies
Contactos poéticos,tiene_como_tema,Cuban poetry -- History and criticism.
La danza de los duendes,tiene_como_tema,History and criticism
Autobiografías,tiene_como_tema,"Picón-Salas, Mariano, 1901-1965."
Tropeles juveniles,tiene_como_tema,Popular music
Me llaman desde allá,tiene_como_tema,Puerto Ricans
"El México que yo sentí, 1896-1960",tiene_como_tema,"Authors, Mexican -- 20th century -- Biography."
El Gobernador Bernardo Reyes,tiene_como_tema,Nuevo Leon (Mexico : State) -- Politics and government.
El olfato,tiene_como_tema,Science & Technology - Anatomy & Physiology
El santo maestro y doctor Juan de Ávila,tiene_como_tema,Biography
Papeles contra sermones,tiene_como_tema,"Caravajal, Francisco."
Diarios,tiene_como_tema,Diaries
Lope de Aguirre,tiene_como_tema,Explorers -- Peru -- Biography.
Efectos de las relaciones directas e indirectas del proceso de globalización con la región Centro Occidente de México,tiene_como_tema,Economic conditions
Crítica cubana,tiene_como_tema,Cuban literature -- History and criticism
Memoria de las imágenes,tiene_como_tema,Congresses
Cuentos de política criolla,tiene_como_tema,"Short stories, Dominican."
Nuevas dramaturgias argentinas,tiene_como_tema,Argentine drama
"Latinoamérica, economía y política",tiene_como_tema,Latin America -- Economic conditions.
Leyendas de vírgenes y santos de Yucatán,tiene_como_tema,Religious life and customs
El tema de nuestro tiempo,tiene_como_tema,Meditation
Tablas cronológicas de la literatura cubana,tiene_como_tema,Cuban literature
Verde Verderol/Green Greenery,tiene_como_tema,Poetry - General
El secreto de Machu Picchu,tiene_como_tema,Machu Picchu Site (Peru) -- Poetry.
Poemas - Sor Juana Ines de La Cruz,tiene_como_tema,Poetry
Historia de la pintura nicaragüense,tiene_como_tema,"Painting, Nicaraguan -- 20th century"
La Llama Doble,tiene_como_tema,Fiction - General
RecetaRius,tiene_como_tema,"Political satire, Mexican."
"Uno, caballo, dos, mariposa",tiene_como_tema,Social life and customs
El testimonio autobiográfico en la literatura mexicana,tiene_como_tema,History and criticism
Errores del corazon,tiene_como_tema,Cuban drama
Travar el saber,tiene_como_tema,Bachillerato Popular Trans Mocha Celis
De dónde vengo,tiene_como_tema,Cultural fusion -- Dominican Republic
La última noche del tigre,tiene_como_tema,"Short stories, Mexican."
México imponderable,tiene_como_tema,Folklore -- Mexico.
Cuba en España,tiene_como_tema,Cuba -- Relations -- Spain.
What Are Ghosts Afraid of (Stories the Year Round (Audio)) (Stories the Year 'round),tiene_como_tema,Spanish: Grades 1-2
"Miles, la otra historia del 98",tiene_como_tema,"Spanish American War, 1898 -- Puerto Rico -- Drama"
LA Pinata Vacia (Cuentos Para Todo el Ano (Audio)) (Cuentos Para Todo El Ano / Stories the Year 'round),tiene_como_tema,Social Issues - Values
Nueva correspondencia Pizarnik,tiene_como_tema,Mexican Authors
España en América,tiene_como_tema,Spain -- Relations -- Latin America.
Hija de Camila,tiene_como_tema,Women -- Social conditions
Revisión de los contratos por circunstancias sobrevinientes,tiene_como_tema,Vis major (Civil law) -- Chile
El Susto De Los Fantasmas / What Are Ghosts Afraid Of? (Cuentos Para Todo El Ano / Stories the Year 'round),tiene_como_tema,Horror & Ghost Stories
Acerca de lo negro y la africanía en la lengua literaria de Motivos de son de Nicolás Guillén,tiene_como_tema,African
Nellie Campobello,tiene_como_tema,"Authors, Mexican -- 20th century -- Biography."
Séneca,tiene_como_tema,"Ethics, Ancient"
"Sujetos colectivos, estado y capitalismo en Uruguay y América Latina",tiene_como_tema,Labor unions
Estás en Nicaragua,tiene_como_tema,Nicaragua -- History -- 1937-1979.
Escenas latinoamericanas (Diferencias / Differences),tiene_como_tema,Latin American Literature
Francisco I. Madero,tiene_como_tema,Biography & Autobiography
Huellas de la mirada crítica,tiene_como_tema,Latin American literature
Sicarios/ Hit Men,tiene_como_tema,Fiction - General
La clave xilofónica de la música cubana,tiene_como_tema,Musical instruments -- Cuba.
Clandestinidad y libertinaje erudito en los albores del siglo XVIII,tiene_como_tema,Spain -- Intellectual life -- 18th century.
Salón Nacional de Artes Plásticas,tiene_como_tema,"Photography, Artistic -- Exhibitions."
Uruguay 9/11,tiene_como_tema,"September 11 Terrorist Attacks, 2001."
Patrimonio renovado,tiene_como_tema,Buildings
Geopol©Ưtica de Am©♭rica Latina y el Caribe,tiene_como_tema,Geopolitics -- Caribbean Area.
Crónicas de un estudiante de medicina,tiene_como_tema,Students -- Mexico -- Political activity -- Case studies
Antología de la poesía amorosa hondureña,tiene_como_tema,Honduran poetry
Obra reunida,tiene_como_tema,Mexican Short stories
Fiestas de toros,tiene_como_tema,Bulls
Organización de la comunidad internacional,tiene_como_tema,International economic integration.
Partido Nuevo Progresista,tiene_como_tema,Politics and government
Virgilio Piñera,tiene_como_tema,"Piñera, Virgilio, -- 1912- -- Criticism and interpretation."
Las maras,tiene_como_tema,Youth -- Latin America -- Social conditions -- Congresses
Las palabras sublevadas,tiene_como_tema,Caribbean literature
El sueno de un reino/ The Dream of a Kingdom (Mirto Academia/ Myrtle Academy),tiene_como_tema,Spanish: Adult Nonfiction
Gráfica mexicana contemporánea,tiene_como_tema,Mexico
La ficción de la memoria,tiene_como_tema,"Rulfo, Juan -- Criticism and interpretation."
Álbum de un héroe,tiene_como_tema,History
Nuevo diálogo de la lengua,tiene_como_tema,Twenty-first century -- Forecasts.
Autoentrevistas de escritores mexicanos,tiene_como_tema,Autobiographies -- Mexico
Introducción a Frank Zappa,tiene_como_tema,Biography
Domiro,tiene_como_tema,"Colosio Murrieta, Luis Donaldo"
Obras Reunidas Iii/ Complete Works III,tiene_como_tema,Fiction
Geopol©Ưtica de Am©♭rica Latina y el Caribe,tiene_como_tema,Geopolitics -- Latin America.
Los Hombres Que Disperso La Danza Y Algu,tiene_como_tema,General
Martín Morúa Delgado,tiene_como_tema,"Authors, Cuban -- Biography"
Vidas de cultura y pasión mexicanas,tiene_como_tema,"Authors, Mexican -- 20th century -- Correspondence."
El sueno de un reino/ The Dream of a Kingdom (Mirto Academia/ Myrtle Academy),tiene_como_tema,Drama
La educación superior en el umbral del siglo XXI,tiene_como_tema,"Education, Higher -- Aims and objectives -- Latin America."
A man with a camera,tiene_como_tema,"Photography, artistic"
"Nada, Nadie / Nothing, No One",tiene_como_tema,Mexico - History
Los Amorosos,tiene_como_tema,"Erotic stories, Mexican."
Historia y ficción en la novela centroamericana contemporánea,tiene_como_tema,Central American fiction
Martí en México,tiene_como_tema,Political refugees -- Cuba -- Biography.
Ideas sociales y políticas en el Infierno de Dante y en los Sueños de Quevedo,tiene_como_tema,"Dante Alighieri, 1265-1321."
La letra e,tiene_como_tema,"Authors, Mexican"
40 años de la Universidad Autónoma de Nayarit,tiene_como_tema,Higher Education
Organismos administrativos del trabajo. Prólogo por Humberto A. Podetti,tiene_como_tema,Labor and laboring classes -- Argentina
Relatos y leyendas de la América indígena,tiene_como_tema,Tales
A pesar del naufragio,tiene_como_tema,Wife abuse
Saberes indígenas y educación en Nayarit,tiene_como_tema,Education
De cierto modo,tiene_como_tema,Mexican literature -- 20th century -- History and criticism.
Jóvenes rurales,tiene_como_tema,Social conditions
El cristianismo y las culturas indígenas,tiene_como_tema,Christianity and other religions
Los pregones de caguas,tiene_como_tema,Social life and customs
Vertigo,tiene_como_tema,Medical / Nursing
Pablo Morillo,tiene_como_tema,Real Academia de la Historia (Spain). Biblioteca
Historia general de Centroamérica,tiene_como_tema,Central America -- History.
Huelga de Dolores para los no huelgueros,tiene_como_tema,Student strikes
Escritoras Cubanas/ Cuban Writers,tiene_como_tema,Fiction - General
Asesinato,tiene_como_tema,"Flores Muñoz, Gilberto"
"El cine, décima musa",tiene_como_tema,Motion pictures
El pensamíento de la reacción mexicana,tiene_como_tema,Mexico -- Politics and government -- 1810-
La interminable conquista de Mexico,tiene_como_tema,Foreign relations
Plantas nativas de México con potencial ornamental,tiene_como_tema,Ornamental Plants
Literatura indígena americana,tiene_como_tema,Indian literature -- Translations into Spanish.
El grito de Lares,tiene_como_tema,"Puerto Rico -- History -- Insurrection, 1868."
Antologia de teatro Nicaragüense,tiene_como_tema,Biography
Intento de psicoanalisis de Juana Inés y ortros ensayos sorjuanistas,tiene_como_tema,"Juana Inés de la Cruz, -- Sor, -- 1648-1695."
Revisiones literarias,tiene_como_tema,United States -- Description and travel.
"Personas, Lugares Y Anexas",tiene_como_tema,General
El santo oficio,tiene_como_tema,Mexican literature
Lezama disperso,tiene_como_tema,History and criticism
Obras I. PoesÃ­a (Tierra Firme),tiene_como_tema,Spanish: Adult Nonfiction
100 plantas que se comen,tiene_como_tema,"Plants, Edible -- Mexico"
Folklore salvadoreño,tiene_como_tema,Spanish Folk songs
Antologia Poetica / Poetic Anthology,tiene_como_tema,Spanish Poetry
Lo cotidiano y lo ritual en las artesanías yucatecas,tiene_como_tema,Folk art
El Plan Colombia,tiene_como_tema,"Chávez Frías, Hugo."
Historia y crónica de Chac Xulub Chen [por] Nakuk Pech,tiene_como_tema,Yucatán Peninsula -- History.
Lecciones de derecho marítimo internacional,tiene_como_tema,Law of the sea.
La Virgen Chiquita,tiene_como_tema,Devotion to
Extranjera en el mundo,tiene_como_tema,Cuban poetry
Premio FIL de Literatura en Lenguas Romances 20 años / prólogo de Vicente Quirarte,tiene_como_tema,Biography
Poderes Sobrenaturales,tiene_como_tema,Spanish: Grades 4-7
Informe que sobre los restos de Colon,tiene_como_tema,"Columbus, Christopher -- Tomb."
Medias palabras,tiene_como_tema,"Guzmán, Martín Luis, -- 1887- -- Correspondence"
Luis Arcaraz,tiene_como_tema,"Arcaraz, Luis"
El debate sobre la justicia Maya,tiene_como_tema,Aspect social
Poética,tiene_como_tema,Poetry
Cicatrices en la memoria,tiene_como_tema,Terrorism -- Cuba -- History -- 1959- -- Fiction
Matrimonio civil,tiene_como_tema,Marriage law -- Chile.
La intervención francesa en México,tiene_como_tema,France -- Foreign relations -- Mexico.
Publicaciones periódicas bioagrícolas latinoamericanas,tiene_como_tema,Biology -- Periodicals -- Directories.
García Lorca,tiene_como_tema,Travel
"Maestra Justina Pérez Merino, directora del legendario Colegio de las Vizcaínas de México",tiene_como_tema,Tecolotlán (Mexico) -- Biography.
Manuel Alvarez Bravo,tiene_como_tema,Photography / Individual Photographer
Los amorosos,tiene_como_tema,"Sabines, Jaime -- Correspondence"
Literatura hispanoamericana,tiene_como_tema,Spanish American fiction.
Todos Los Cuentos,tiene_como_tema,Short Stories (single author)
Diccionario de las letras dominicanas,tiene_como_tema,Biography
Amo y señor de mis palabras,tiene_como_tema,Historia y crítica
La isla infinita de Fernando Ortiz,tiene_como_tema,Cuba -- Civilization -- 20th century.
La mendicidad en México,tiene_como_tema,Begging
"Didactica de Las Ciencias Sociales, Geografia E Historia",tiene_como_tema,Sociology
"Hace muchos años, una joven viajera",tiene_como_tema,Biography
Pedro Henríquez Ureña en México,tiene_como_tema,Mexico -- Intellectual life -- 20th century.
El muy ilustre Ayuntamiento de Monterrey desde 1596,tiene_como_tema,Monterrey (Mexico). Ayuntamiento.
Libertad bajo palabra,tiene_como_tema,General
"René del Risco, lo dominican, lo dominicano, la modernidad",tiene_como_tema,Dominican Authors
Maladrón,tiene_como_tema,Ritual
Diccionario del proceso penal acusatorio,tiene_como_tema,Criminal procedure
La visión de Anáhuac de Alfonso Reyes,tiene_como_tema,Exhibitions
La música de los años,tiene_como_tema,Escritores mexicanos -- Siglo XX -- Biografía.
Two novels of Mexico,tiene_como_tema,Spanish
Homenaje a Dulce María Loynaz,tiene_como_tema,"Loynaz, Dulce María, 1902-1997 -- Criticism and interpretation."
"Octavio Paz, Las Palabras Del Arbol/ Octavio Paz, The Words of the Tree (Ensayo-Literatura)",tiene_como_tema,Spanish: Adult Nonfiction
De Santo Domingo al mundo,tiene_como_tema,History and criticism
Productos Farmaceuticos de Venta En La Argentina,tiene_como_tema,Reference
La Nina De Las 9 Estrellas,tiene_como_tema,Spanish: Adult Nonfiction
Lo que no sabías de Eligio Ancona a 175 años de su natalicio,tiene_como_tema,Mexican Authors
Poesia Completa,tiene_como_tema,Spanish: Adult Nonfiction
El Procedimiento ante el Tribunal Europeo de Derechos Humanos y los requisitos de admisibilidad de la demanda,tiene_como_tema,European Court of Human Rights
Campeche,tiene_como_tema,Juvenile
"Don Israel Cavazos Garza, memoria viva de Monterrey",tiene_como_tema,Portraits
Publicaciones periódicas bioagrícolas latinoamericanas,tiene_como_tema,Agriculture -- Periodicals -- Directories.
Perder la piel,tiene_como_tema,Mexican fiction -- 20th century.
Homenaje,tiene_como_tema,Criticism and interpretation
"Juana Inés de Asbaje y Ramírez de Santillana, sor Juana Inés de la Cruz",tiene_como_tema,"Juana Inés de la Cruz, Sister, 1651-1695."
Festín de poesía,tiene_como_tema,Translations into Spanish
Reglas de Congo/ Palo Monte Mayombe (Colección Del Chichereku En El Exilio),tiene_como_tema,Religion - World Religions
El Grupo Minorista y su tiempo,tiene_como_tema,Grupo Minorista (Cuba)
Futbolistas/ Soccer Players,tiene_como_tema,History
"José Joaquín Fernández de Lizardi, el pensador mexicano",tiene_como_tema,Biography
El Ensayo político latinoamericano en la formación nacional,tiene_como_tema,Latin America -- Politics and government.
José María Morelos,tiene_como_tema,Juvenile literature
Perros Heroes,tiene_como_tema,Fiction - General
Juntos andan,tiene_como_tema,"Short stories, Mexican."
Antología del pensamiento crítico dominicano contemporáneo,tiene_como_tema,Social sciences and state
Fe en disfraz,tiene_como_tema,Cuentos eróticos
La angustia y la búsqueda del hombre en la literatura,tiene_como_tema,"Unamuno, Miguel de, 1864-1936"
El sabio Debayle y su contribución a la ciencia médica en Centroamérica,tiene_como_tema,Biography
La mansedumbre de Job,tiene_como_tema,Criticism and interpretation
Espacios y saberes en Michoacán,tiene_como_tema,Civilization
"Amado Nervo, el periodista",tiene_como_tema,"Nervo, Amado, -- 1870-1919"
Líneas para un boceto de Claribel Alegría,tiene_como_tema,"Alegría, Claribel."
The house on the lagoon,tiene_como_tema,Women novelists -- Fiction
Letras mexicanas del siglo XIX,tiene_como_tema,"Theory, etc.."
Así fue Martí,tiene_como_tema,"Martí, José, 1853-1895 -- Anecdotes."
Quietecito por favor!,tiene_como_tema,Children -- Mexico -- 19th century -- Portraits
Establecimiento de la partida doble en las cuentas centrales de la Real Hacienda de Castilla (1592),tiene_como_tema,Castile (Kingdom). Real Hacienda
Juan y sus zapatos,tiene_como_tema,Shoes -- Juvenile fiction
Tres Estancias Narrativas 1890-1899/ Three Narratives 1890-1899 (Obras De Amado Nervo),tiene_como_tema,Spanish: Adult Nonfiction
Mrs. Sato's hens,tiene_como_tema,Counting
¡Fíjese! en buenas palabras,tiene_como_tema,Mexican Authors
"En pocas palabras, 1983-1984",tiene_como_tema,"Noriega, Manuel Antonio, 1934-"
Bajtin y sus apócrifos,tiene_como_tema,"Bakhtin, M. M. 1895-1975."
Quebrando albores,tiene_como_tema,History and criticism
Aplicacion de Los Sistemas Expertos En Agricultura,tiene_como_tema,Technology & Industrial Arts
Los nuevos escritores y Luis Cardoza y Aragón,tiene_como_tema,"Authors, Guatemalan -- 21st century."
Los cementerios de la Ciudad de San Luis Potosí,tiene_como_tema,San Luis Potosí (Mexico) -- History.
Dolores Del Río,tiene_como_tema,Motion picture actors and actresses -- Mexico -- Biography.
Huellas en el tiempo,tiene_como_tema,Civilization
Ilustrados en la Nueva España,tiene_como_tema,Verlichting (cultuurgeschiedenis)
"Un dramaturgo romántico olvidado, José María Díaz",tiene_como_tema,"Díaz, José María, d. 1888"
La mujer cubana ahora,tiene_como_tema,Women
Carnaval de Sodoma,tiene_como_tema,General
Luis Cardoza y Aragón,tiene_como_tema,Biography
El criterio ejercido,tiene_como_tema,Fiction -- History and criticism
"Fray Pedro de Gante, maestro y civilizador de América",tiene_como_tema,Franciscans -- Mexico -- Biography.
Hablar de la poesía,tiene_como_tema,Poetics
"El Teatro de los Insurgentes, 1953-1993",tiene_como_tema,Theater -- Mexico -- Mexico City -- History -- 20th century.
Extra! Extra!/ Extra! Extra!,tiene_como_tema,Children's Books/Ages 4-8 Fiction
Portarretratos a la deriva,tiene_como_tema,Celebrities
Ego sum Pinochet,tiene_como_tema,"Pinochet Ugarte, Augusto -- Interviews."
La palabra como cuerpo del delito,tiene_como_tema,Dominican poetry
Violencias de género,tiene_como_tema,Women
Los días de Cipriano Castro,tiene_como_tema,Presidents -- Venezuela -- Biography.
Los otros cuerpos,tiene_como_tema,Puerto Rican literature -- 21st century
La Bohemia tabasqueña,tiene_como_tema,Bohemia tabasqueña.
Barahona en las letras nacionales,tiene_como_tema,Dominican literature
Rumbo a la calle--,tiene_como_tema,Economic conditions
Un camino hacia el desarrollo,tiene_como_tema,Economic conditions
Martí conspirador,tiene_como_tema,"Martí, José, -- 1853-1895."
No habrá final feliz,tiene_como_tema,Héctor Belascoarán Shayne (Fictitious character)
Un Camino de hallazgos,tiene_como_tema,Mexican poetry -- 20th century.
Rashomon and other stories,tiene_como_tema,"Japan, fiction"
El vampiro de la Colonia Roma,tiene_como_tema,General
Historia de la UDI,tiene_como_tema,Unión Demócrata Independiente (Chile : 1983-1987)
Escritos poli ticos,tiene_como_tema,Partido Comunista Mexicano.
Mis recuerdos,tiene_como_tema,Mexico -- History -- 1867-1910.
Urbanismo y vida urbana,tiene_como_tema,"Urbanization -- Colombia -- Addresses, essays, lectures."
Perspectivas del desarrollo de la educación superior en Nicaragua,tiene_como_tema,"Education, Higher -- Nicaragua."
El pais bajo  mi piel,tiene_como_tema,1948-
José Martí en la política y en el amor,tiene_como_tema,"Martí, José, 1853-1895 -- Political and social views."
Diez lecturas de novelas dominicanas (2018-2019),tiene_como_tema,Dominican essays
Comunicación,tiene_como_tema,Community radio
"Adiós, Madrid",tiene_como_tema,Private investigators
Misión de la universidad y otros ensayos sobre educación y pedagogía,tiene_como_tema,Spain
Serie de circunstancias posibles en torno a una mujer mexicana de clase trabajadora,tiene_como_tema,Working class women
Nietas y nietos de Plaza de Mayo,tiene_como_tema,Enfants de personnes disparues
Historia moderna de la etnicidad en Guatemala,tiene_como_tema,Social history -- Guatemala.
"Rafael Heliodoro Valle, humanista de América",tiene_como_tema,Biography
Relatos Mayas tradicionales,tiene_como_tema,Indians of Mexico
Secretos De Un Patio Cubano,tiene_como_tema,"Hiriart, Rosario"
Hostos,tiene_como_tema,"Hostos, Eugenio María de, 1839-1903."
Teología bíblica de la comunicación cristiana de bienes,tiene_como_tema,Charity.
Miguel Marmol (Biblioteca Roque Dalton),tiene_como_tema,Partido Comunista de El Salvador
500 Anos Fregados Pero Cristianos,tiene_como_tema,Cartoons and caricatures
El hotel de los corazones solitarios,tiene_como_tema,Rock music -- History and criticism
Biografía de la humildad,tiene_como_tema,"Bethencourt, Pedro de San José, 1626?-1667"
El hombre de la azada en Puerto Rico,tiene_como_tema,Land tenure
Los pasos de Laco,tiene_como_tema,Mexican Authors
Baja California,tiene_como_tema,Motion picture industry -- Mexico -- Baja California (State) -- History.
"Antonio Larrazábal, un guatemalteco en la historia",tiene_como_tema,Guatemala -- History -- To 1821.
Ortega y Gasset estética de la razón vital,tiene_como_tema,Aesthetics
Leyendas y tradiciones de Honduras y del mundo,tiene_como_tema,Legends -- Honduras.
Narrativa española contemporánea,tiene_como_tema,Spanish fiction -- 20th century -- History and criticism.
Cronicas desconocidas: 1901 - 1906,tiene_como_tema,Spanish & Portuguese Lit.
La Plaza Alta de Badajoz,tiene_como_tema,Plazas
En torno a la filosofía mexicana,tiene_como_tema,"Philosophy, Mexican."
La cenicienta,tiene_como_tema,Contes de fées
Tercera Antologia Poetica 1898-1953,tiene_como_tema,Poetry
Crónica del año 33,tiene_como_tema,Cuba -- Biography.
Infectologia,tiene_como_tema,Medical / Nursing
Los Paseos De La Ciudad De Mexico / The Strolls of Mexico City (Centzontle),tiene_como_tema,Mexico City (Mexico)
Ramón López Velarde en San Luis Potosí,tiene_como_tema,"Authors, Mexican -- Mexico -- San Luis Potosí."
Sandino,tiene_como_tema,Revolutionaries -- Nicaragua -- Biography.
José Agustín Ramírez,tiene_como_tema,Biography
Diccionario de las letras nicaragüense,tiene_como_tema,Nicaragua -- Bio-bibliography.
Poesía moderna dominicana del siglo XX y los contextos internacionales,tiene_como_tema,History and criticism
Matematicas Con Derive En La Economia y La Empresa,tiene_como_tema,Algebra - General
Aproximación a la inseguridad en Huehuetenango,tiene_como_tema,Crime prevention
Cooperativas de consumo .,tiene_como_tema,Cooperation
Juan Mora Fernández,tiene_como_tema,"Mora Fernández, Juan, 1784-1854."
Páginas para la historia,tiene_como_tema,Benemérita Sociedad de Geografía y Estadística del Estado de Jalisco
Conquistadores antiguos y modernos,tiene_como_tema,"García, Genaro, 1867-1920."
De la tierra al cielo,tiene_como_tema,Exhibition
Introduccion a Los Microcontroladores,tiene_como_tema,Computer - Internet
Cirugia Estetica del Esqueleto Facial,tiene_como_tema,Surgery - General
Siguiendo los pasos de Francisco de Miranda,tiene_como_tema,Chronology
Archivo de José Lezama Lima,tiene_como_tema,"Lezama Lima, José -- Criticism and interpretation."
Todos somos culpables,tiene_como_tema,Authorship.
Política y bloques de poder,tiene_como_tema,International economic relations.
Espacios y saberes en Michoacán,tiene_como_tema,Popular culture
Rumbo a la calle--,tiene_como_tema,Social conditions
"Planes de manejo para la conservación de abarco, caoba, cedro, palorosa y canelo de los andaquíes",tiene_como_tema,Forest management
Mitología maya,tiene_como_tema,Maya mythology
Rubén García Benavides,tiene_como_tema,Catalogs
Recetario indígena de la Sierra Norte de Puebla,tiene_como_tema,Food
Bocetos biográficos puertorriqueños,tiene_como_tema,"Authors, Puerto Rican -- Biography."
El Otro Kelsen,tiene_como_tema,Philosophy
50 años de danza,tiene_como_tema,Theaters -- Mexico -- Mexico City.
El arpa y la sombra,tiene_como_tema,"Columbus, Christopher -- Fiction"
Los geoglífos de Nasca,tiene_como_tema,Aerial photography in archaeology -- Peru -- Nazca Lines Site.
El mundo privado de los emigrantes en Indias,tiene_como_tema,Latin America -- History -- To 1600
Las Voces del karaí,tiene_como_tema,"Roa Bastos, Augusto Antonio."
La construcción del ferrocarril de México a Toluca,tiene_como_tema,Railroads and state -- Mexico -- History.
Una cesta de cumpleanos para Tia Abuela,tiene_como_tema,Juvenile fiction
Lecciones de estadística,tiene_como_tema,Colombia -- Statistics.
Ciencia y navegación a fines del siglo XVII y principios del siglo XVIII,tiene_como_tema,Navigation -- History -- 18th century.
"Reina De America (Biblioteca Breve (Barcelona, Spain).)",tiene_como_tema,Spanish: Adult Fiction
"Criminología, marginalidad y derecho penal",tiene_como_tema,Crime.
Postales de María Pasapera,tiene_como_tema,Women
"Sonetos oral-traumáticos, masoquistas, tanáticos y eróticos de flores de baria poesía y otros cancioneros de los de siglos XVI y XVII",tiene_como_tema,Sonnets
La poesía moderna en Cuba (1882-1925),tiene_como_tema,Cuban poetry
El lobo y el espía,tiene_como_tema,Servicio de inteligencia
Reflexiones,tiene_como_tema,Multiculturalism
Gerónimo Treviño,tiene_como_tema,Governors -- Mexico -- Nuevo León (State) -- Biography.
Cántigas de alén,tiene_como_tema,"Valente, José Angel -- Criticism and interpretation"
Antigua Madero Librería,tiene_como_tema,Librería Madero
El árbol y sus sombras,tiene_como_tema,Spanish American literature -- History and criticism
El dominio del cuerpo femenino como ejercicio de poder a través de textos médicos clásicos y medievales,tiene_como_tema,Human anatomy in literature
Conversación con los difuntos,tiene_como_tema,English poetry
Evas terrenales,tiene_como_tema,"Authors, Dominican -- Biography -- Dictionaries -- Spanish"
El Tesoro De La Sombra/ The Treasure of the Shadow,tiene_como_tema,Literary
"Prensa, revolución y vida cotidiana en Veracruz, 1910-1915",tiene_como_tema,Press
GESTIÃN CONTABLE BAJO US GAAP  GuÃ­a PrÃ¡ctica,tiene_como_tema,Accounting - General
Cine Cubano/Cuban Movie,tiene_como_tema,Film & Video - History & Criticism
Raíces de la identidad dominicana,tiene_como_tema,Race awareness
Juan Soriano Nino De MIL Anos,tiene_como_tema,"Artists, Architects, Photographers"
Derecho mercantil,tiene_como_tema,Commercial law -- Spain.
"Bolívar en México, 1799-1832",tiene_como_tema,"Bolívar, Simón, 1783-1830."
"El don apacible de Sor Juana Inés de la Cruz, décima musa de la Nueva España",tiene_como_tema,"Authors, Mexican -- 17th century -- Biography"
El problema agrario de México y la Ley federal de reforma agraria,tiene_como_tema,Law and legislation
Cinco escritores y su Madrid,tiene_como_tema,"Authors, Spanish -- 20th century -- Biography."
Usted no lo diga y otros temas de lingüística,tiene_como_tema,Spanish language
La inmaculada concepción del humor,tiene_como_tema,"Authors, Mexican -- 20th century -- Quotations."
Gracias,tiene_como_tema,Gratitude -- Fiction
"Publicación conmemorativa, tricentenario, Universidad de San Carlos de Guatemala, 1676-1976",tiene_como_tema,Universidad de San Carlos de Guatemala -- History.
El Fin De LA Raza Cosmica,tiene_como_tema,Social Science
Verso y prosa / Verse and Prose,tiene_como_tema,Spanish Poetry
Anécdotas políticas,tiene_como_tema,Puerto Rico -- Politics and government -- Anecdotes.
La novela latinoamericana en vísperas de un nuevo siglo y otros ensayos,tiene_como_tema,Arts -- Latin America
Huella y memoria,tiene_como_tema,Beer industry -- Dominican Republic.
El crimen de la mancha en el espejo,tiene_como_tema,History
How Tía Lola came to visit stay,tiene_como_tema,Divorce -- Fiction
De La guerrilla cívica a La nación dividida,tiene_como_tema,Puerto Rico -- Politics and government -- 1952-
América Latina,tiene_como_tema,Latin America -- Armed Forces -- Political activity -- History -- 20th century -- Congresses.
Retrospección crítica de la Asamblea Constituyente de 1940,tiene_como_tema,Cuba. Asamblea Constituyente (1940)
Estudios etnosociológicos,tiene_como_tema,Cuba -- Civilization -- Foreign influences.
"Biodiversidad de la República Dominicana, hongos",tiene_como_tema,Fungi
Marcos A. Jorge Moreno,tiene_como_tema,Dominican Republic -- History -- 1930-1961
"Liberalización, ajuste y reestructuración de la agricultura española",tiene_como_tema,Agriculture and state
"Visión, realidad y propuestas",tiene_como_tema,Politics and government
Los Estados Unidos en el derrocamiento de Trujillo,tiene_como_tema,"Trujillo Molina, Rafael Leónidas, 1891-1961."
El Cuento Del Cafecito / A Cafecito Story,tiene_como_tema,Short Story
El Arpa Y La Sombra/The Harp and the Shadow (Biblioteca De Autor / Author Library),tiene_como_tema,Fiction - General
Mucho más gente así,tiene_como_tema,Cuentos
Prospero's mirror,tiene_como_tema,Spanish American fiction -- 20th century -- Translations into English
Sincretismo religioso?,tiene_como_tema,Cuba -- Religion.
Ideas para el siglo XXI,tiene_como_tema,Ideology -- History -- 20th century.
Historia panorámica de la literatura puertorriqueña (1589-1959),tiene_como_tema,Puerto Rican literature -- History and criticism.
Luminoso Tiempo Gris/ Luminious Gray Time (Voces/ Literatura),tiene_como_tema,General
Animales,tiene_como_tema,Vocabulary
Hollywood era el cielo,tiene_como_tema,Motion picture actors and actresses
Antologia de teatro Nicaragüense,tiene_como_tema,Nicaraguan Dramatists
Carilda Oliver Labra,tiene_como_tema,"Authors, Cuban -- 20th century -- Biography."
La revolución y las letras,tiene_como_tema,Mexican fiction -- History and criticism
Clemente Palma,tiene_como_tema,"Palma, Clemente, 1872-1946 -- Criticism and interpretation."
Temas de contabilidad de gestión,tiene_como_tema,Managerial accounting.
Origen y epílogo de la filosofía y otros ensayos de filosofía,tiene_como_tema,General
Lunario Sentimental,tiene_como_tema,Fiction - General
