Autor,Relación,Nacionalidad
Humberto Rivera y Morillo,es_de,Honduras
Néstor Bermúdez,es_de,Honduras
Juan Blas Galeas,es_de,Honduras
Hector Róger González,es_de,Honduras
Ludmilla Valadez Valderrábano,es_de,Honduras
Willy O. Muñoz,es_de,Honduras
Helen Umaña,es_de,Honduras
Rubén Darío,es_de,Nicaragua
Edelberto Torres,es_de,Nicaragua
José María Vargas Vila,es_de,Nicaragua
Margaret Randall,es_de,Nicaragua
Gioconda Belli,es_de,Nicaragua
Ernesto Cardenal,es_de,Nicaragua
Ian Gibson,es_de,Nicaragua
Marta Kordon,es_de,Nicaragua
Valentín de Pedro,es_de,Nicaragua
Carlos Tünnermann Bernheim,es_de,Nicaragua
Argentina Vega Bolaños,es_de,Nicaragua
Isolda Rodríguez Rosales,es_de,Nicaragua
Humberto Osorno Fonseca,es_de,Nicaragua
Luisa Amanda Juárez Gutiérrez,es_de,Nicaragua
"Seminario-Archivo Rubén Darío (Madrid, Spain)",es_de,Nicaragua
Mario Parajón,es_de,Nicaragua
Horacio Castillo,es_de,Nicaragua
Ricardo Llopesa,es_de,Nicaragua
Teodosio Fernández,es_de,Nicaragua
Jorge Eduardo Arellano,es_de,Nicaragua
Alejandro Bravo,es_de,Nicaragua
Armando Ñurinda Ramírez,es_de,Nicaragua
Eddy Kühl Aráuz,es_de,Nicaragua
Danilo Guido,es_de,Nicaragua
José Coronel Urtecho,es_de,Nicaragua
Gonzalo Rivas Novoa,es_de,Nicaragua
Daniel Mordzinski,es_de,Nicaragua
Erick Blandón Guevara,es_de,Nicaragua
Joaquín Pasos,es_de,Nicaragua
José Coronel Urtecho,es_de,Nicaragua
Nidia Palacios,es_de,Nicaragua
"Encuentro de Escritores Costarircenses y Nicaragüences: La Frontera, José Coronel Urtecho, in Memorian (2nd 2001 Costa Rica)",es_de,Nicaragua
Pedro Rafael Gutiérrez,es_de,Nicaragua
Blas Matamoro,es_de,Nicaragua
Osvaldo Bazil,es_de,Nicaragua
Salvador Espinoza Moncada,es_de,Nicaragua
Julián N. Guerrero C.,es_de,Nicaragua
Vidaluz Meneses,es_de,Nicaragua
Ana Ilce Gómez,es_de,Nicaragua
Edwin Yllescas Salinas,es_de,Nicaragua
Michele Najlis,es_de,Nicaragua
Luis Rocha,es_de,Nicaragua
"Silva, Fernando",es_de,Nicaragua
Luis Alberto Cabrales,es_de,Nicaragua
Rubén Darío y Basualdo,es_de,Nicaragua
Claribel Alegría,es_de,Nicaragua
Francisco Javier Bautista Lara,es_de,Nicaragua
Georgina Lázaro León,es_de,Nicaragua
Edmundo Montenegro Parrales,es_de,Nicaragua
Joaquín Artiles,es_de,Nicaragua
Pablo Steiner Jonas,es_de,Nicaragua
Orlando García Lorenzo,es_de,Nicaragua
Rubén Darío,es_de,Nicaragua
Kristina Cordero,es_de,Nicaragua
Pedro Xavier Solís,es_de,Nicaragua
Guillermo Menocal,es_de,Nicaragua
Stephen Henighan,es_de,Nicaragua
Valeriano Bozal Fernández,es_de,Nicaragua
Leadimiro González,es_de,Panama
Rogelio Fajardo Ureña,es_de,Panama
Enrique Jaramillo Levi,es_de,Panama
César Del Vasto,es_de,Panama
Fernando Burgos,es_de,Panama
Luis Wong Vega,es_de,Panama
Dimas Lidio Pitty,es_de,Panama
Humberto Lopez Cruz,es_de,Panama
Camilo Saavedra Córdoba,es_de,Panama
Tony Fergo,es_de,Panama
Aristides Martínez Ortega,es_de,Panama
Guillermo Sánchez,es_de,Panama
Zary Alleyne,es_de,Panama
"Martínez Ortega, Aristides.",es_de,Panama
Aura A. González B.,es_de,Panama
Eduardo A. Esquivel Ríos.,es_de,Panama
Nolis Boris Góndola Solís,es_de,Panama
Rosa María Britton,es_de,Panama
