Obra,Relación,Autor
Concepción Arenal,fue_escrito_por,Anna Caballé
Lo mío es escribir,fue_escrito_por,Anna Caballé
¿Por qué España?,fue_escrito_por,Anna Caballé
Bibliofilia y amistad,fue_escrito_por,Anna Caballé
Autobiografía y literatura árabe,fue_escrito_por,Anna Caballé
Amazonas y modelos,fue_escrito_por,Anna Caballé
"Antonio Machado, el poeta y su doble",fue_escrito_por,Anna Caballé
Volición y metateatralidad,fue_escrito_por,Olga Martha Peña Doria
Amalia de Castillo Ledón,fue_escrito_por,Olga Martha Peña Doria
Entre vuestras plumas ando ...,fue_escrito_por,Olga Martha Peña Doria
Catalina D'Erzell,fue_escrito_por,Olga Martha Peña Doria
Volición y metateatralidad,fue_escrito_por,Olga Martha Peña Doria
La dramaturgia femenina y el corrido mexicano teatralizado,fue_escrito_por,Olga Martha Peña Doria
La revolución y el nacionalismo en el teatro mexicano,fue_escrito_por,Olga Martha Peña Doria
"Prototipos, cuerpo, género y escritura",fue_escrito_por,Olga Martha Peña Doria
La inmaculada concepción del humor,fue_escrito_por,J. Manuel García-García
"El comercio, los negocios y las finanzas en el mundo romano",fue_escrito_por,J. Manuel García-García
Safari,fue_escrito_por,J. Manuel García-García
Arcana,fue_escrito_por,J. Manuel García-García
Proyectos en Hierro para Interiores,fue_escrito_por,J. Manuel García-García
Elixir,fue_escrito_por,J. Manuel García-García
La sonrisa de un ángel,fue_escrito_por,J. Manuel García-García
Desarrollo del lenguaje y cognición,fue_escrito_por,J. Manuel García-García
Visiones del hábitat en América Latina,fue_escrito_por,J. Manuel García-García
El exilio teatral republicano de 1939,fue_escrito_por,J. Manuel García-García
"Diccionario biobibliográfico de los escritores, editoriales",fue_escrito_por,J. Manuel García-García
Puentes de diálogo entre el exilio republicano de 1939 y el interior,fue_escrito_por,J. Manuel García-García
Erótica Del Guisante,fue_escrito_por,J. Manuel García-García
Mujer e igualdad,fue_escrito_por,J. Manuel García-García
diarios. expedicion de mina. mexico,fue_escrito_por,J. Manuel García-García
El Hilo de Ariadna en la Sociedad del Conocimiento,fue_escrito_por,J. Manuel García-García
El gobierno de las universidades,fue_escrito_por,J. Manuel García-García
Leona,fue_escrito_por,Celia del Palacio
Violencia y periodismo regional en México,fue_escrito_por,Celia del Palacio
El camino del fuego,fue_escrito_por,Celia del Palacio
"Hemerografía mínima de Guadalajara, 1809-1864",fue_escrito_por,Celia del Palacio
La disputa por las conciencias,fue_escrito_por,Celia del Palacio
La gaceta de Guadalajara (1902-1914),fue_escrito_por,Celia del Palacio
La primera generación romántica en Guadalajara,fue_escrito_por,Celia del Palacio
Manantial de arena,fue_escrito_por,Celia del Palacio
Historia de la prensa en Iberoamérica,fue_escrito_por,Celia del Palacio
"Prensa, revolución y vida cotidiana en Veracruz, 1910-1915",fue_escrito_por,Celia del Palacio
Los nuevos objetos culturales en Iberoamérica,fue_escrito_por,Celia del Palacio
Pasado y presente,fue_escrito_por,Celia del Palacio
Hollywood era el cielo,fue_escrito_por,Celia del Palacio
Periodismo de Frontera en América Latina,fue_escrito_por,Celia del Palacio
Callar o morir en Veracruz,fue_escrito_por,Celia del Palacio
"Catálogo de la hemerografía de Jalisco, 1808-1950",fue_escrito_por,Celia del Palacio
Adictas a la insurgencia,fue_escrito_por,Celia del Palacio
"Cultura, comunicación y política",fue_escrito_por,Celia del Palacio
La prensa como fuente para la historia,fue_escrito_por,Celia del Palacio
Rompecabezas de papel,fue_escrito_por,Celia del Palacio
"Catálogo de la hemerografía de Veracruz, 1795-1950",fue_escrito_por,Celia del Palacio
"Siete regiones de la prensa en México, 1792-1950",fue_escrito_por,Celia del Palacio
El ensayo literario,fue_escrito_por,Celia del Palacio
Testigo de la violencia,fue_escrito_por,Celia del Palacio
"""Porque la lucha por un hijo no termina...""",fue_escrito_por,Celia del Palacio
La prensa decimonónica en México,fue_escrito_por,Celia del Palacio
El nosotros desde nuestra mirada,fue_escrito_por,Celia del Palacio
Memoria roja,fue_escrito_por,Fritz Glockner Corte
Los años heridos,fue_escrito_por,Fritz Glockner Corte
Cementerio de papel,fue_escrito_por,Fritz Glockner Corte
Cementerio De Papel/ Cementery of Paper,fue_escrito_por,Fritz Glockner Corte
Coleccionista de estrellas,fue_escrito_por,Fritz Glockner Corte
El barco de la ilusion,fue_escrito_por,Fritz Glockner Corte
Veinte de cobre,fue_escrito_por,Fritz Glockner Corte
Colecciónista de estrellas,fue_escrito_por,Fritz Glockner Corte
El barco de la ilusión,fue_escrito_por,Fritz Glockner Corte
Un pueblo en campaña,fue_escrito_por,Fritz Glockner Corte
Voces en rebelión,fue_escrito_por,Fritz Glockner Corte
Todo es posible en la paz,fue_escrito_por,Alejandro Toledo
El hilo del Minotauro. Cuentistas Mexicanos incalsificables (Biblioteca Universitaria De Bolsillo),fue_escrito_por,Alejandro Toledo
Lectario de narrativa mexicana,fue_escrito_por,Alejandro Toledo
El imperio de las voces,fue_escrito_por,Alejandro Toledo
Universo Francisco Tario,fue_escrito_por,Alejandro Toledo
Petróleo y ecodesarrollo en el sureste de México,fue_escrito_por,Alejandro Toledo
Riqueza y pobreza en la costa de Chiapas y Oaxaca,fue_escrito_por,Alejandro Toledo
Estación Joyce,fue_escrito_por,Alejandro Toledo
"Energía, ambiente y desarrollo",fue_escrito_por,Alejandro Toledo
A sol y asombro,fue_escrito_por,Alejandro Toledo
Atardecer con lluvia,fue_escrito_por,Alejandro Toledo
De puno d eletra,fue_escrito_por,Alejandro Toledo
El fantasma en el espejo,fue_escrito_por,Alejandro Toledo
Cómo destruir el paraíso,fue_escrito_por,Alejandro Toledo
El delta del río Balsas,fue_escrito_por,Alejandro Toledo
El pantano,fue_escrito_por,Alejandro Toledo
Geopolítica y desarrollo en el Istmo de Tehuantepec,fue_escrito_por,Alejandro Toledo
La batalla de Gutiérrez Vivó,fue_escrito_por,Alejandro Toledo
Los márgenes de la palabra,fue_escrito_por,Alejandro Toledo
La palabra en acción,fue_escrito_por,Alejandro Toledo
Crecer para incluir,fue_escrito_por,Alejandro Toledo
Creación y poder,fue_escrito_por,Alejandro Toledo
Un líder sin fronteras,fue_escrito_por,Alejandro Toledo
Perú y América Latina en crisis,fue_escrito_por,Alejandro Toledo
Sidonia,fue_escrito_por,Alejandro Toledo
Planificación de sistemas socioecológicos complejos,fue_escrito_por,Alejandro Toledo
Las Otras caras de la sociedad informal,fue_escrito_por,Alejandro Toledo
Poemas y narraciones sobre el movimiento estudiantil de 1968,fue_escrito_por,Alejandro Toledo
Literatura,fue_escrito_por,Alejandro Toledo
Propiedad y organización rural en el México moderno,fue_escrito_por,Julio Moguel
Alebrijes,fue_escrito_por,Julio Moguel
Sistemas jurídicos de la pluriculturalidad en México,fue_escrito_por,Julio Moguel
Chiapas,fue_escrito_por,Julio Moguel
Chiapas: La guerra de los signos,fue_escrito_por,Julio Moguel
Los caminos de la izquierda,fue_escrito_por,Julio Moguel
Autonomía y nuevos sujetos sociales en el desarrollo rural,fue_escrito_por,Julio Moguel
Marco jurídico de la pluriculturalidad en México,fue_escrito_por,Julio Moguel
Ensayos sobre la cuestión agraria y el campesinado,fue_escrito_por,Julio Moguel
Portal de letras,fue_escrito_por,Julio Moguel
"Santa Gertrudis, testimonios de una lucha campesina",fue_escrito_por,Julio Moguel
Juan Rulfo,fue_escrito_por,Julio Moguel
La Revolución Mexicana,fue_escrito_por,Moisés Ochoa Campos
"Ignacio Manuel Altamirano, el soplo del genio",fue_escrito_por,Moisés Ochoa Campos
La chilena guerrerense,fue_escrito_por,Moisés Ochoa Campos
Historia del Estado de Guerrero,fue_escrito_por,Moisés Ochoa Campos
La reforma municipal,fue_escrito_por,Moisés Ochoa Campos
Reseña histórica del periodismo mexicano,fue_escrito_por,Moisés Ochoa Campos
Ignacio Manuel Altamirano,fue_escrito_por,Moisés Ochoa Campos
Derecho legislativo mexicano,fue_escrito_por,Moisés Ochoa Campos
Juan Ignacio Maria de Castorena Ursua y Goyeneche,fue_escrito_por,Moisés Ochoa Campos
La revolucio n mexicana,fue_escrito_por,Moisés Ochoa Campos
"Calles, el estadista",fue_escrito_por,Moisés Ochoa Campos
El maestro Ignacio Manuel Altamirano,fue_escrito_por,Moisés Ochoa Campos
"El municipio, su evolución institucional",fue_escrito_por,Moisés Ochoa Campos
Guerrero,fue_escrito_por,Moisés Ochoa Campos
Juan Ignacio Maria de Castorena Ursúa y Goyeneche,fue_escrito_por,Moisés Ochoa Campos
La oratoria en México,fue_escrito_por,Moisés Ochoa Campos
La revolución de la juventud,fue_escrito_por,Moisés Ochoa Campos
El pensamiento político de Ignacio Manuel Altamirano,fue_escrito_por,Moisés Ochoa Campos
"De Tacubaya a Chapultepec, 1827-1945",fue_escrito_por,Moisés Ochoa Campos
Gonzalo Guerrero,fue_escrito_por,Eugenio Aguirre
El abogánster,fue_escrito_por,Eugenio Aguirre
Hidalgo,fue_escrito_por,Eugenio Aguirre
Pasos de sangre,fue_escrito_por,Eugenio Aguirre
Pájaros de fuego,fue_escrito_por,Eugenio Aguirre
Segunda persona,fue_escrito_por,Eugenio Aguirre
"Cantolla, el aeronauta",fue_escrito_por,Eugenio Aguirre
Amor de mis amores,fue_escrito_por,Eugenio Aguirre
Cadáver exquisito,fue_escrito_por,Eugenio Aguirre
Cuarto cerrado,fue_escrito_por,Eugenio Aguirre
De cuerpo entero,fue_escrito_por,Eugenio Aguirre
De ángeles y otras perversiones,fue_escrito_por,Eugenio Aguirre
Desierto ardiente,fue_escrito_por,Eugenio Aguirre
El caballero de las espadas,fue_escrito_por,Eugenio Aguirre
El demonio me visita,fue_escrito_por,Eugenio Aguirre
El hombre baldío,fue_escrito_por,Eugenio Aguirre
El rumor que llegó del mar,fue_escrito_por,Eugenio Aguirre
En el campo,fue_escrito_por,Eugenio Aguirre
Frutas,fue_escrito_por,Eugenio Aguirre
Isabel Moctezuma,fue_escrito_por,Eugenio Aguirre
La cruz maya,fue_escrito_por,Eugenio Aguirre
La Cruz Maya/ the Maya Cross,fue_escrito_por,Eugenio Aguirre
La fascinación de la bestia,fue_escrito_por,Eugenio Aguirre
La suerte de la fea,fue_escrito_por,Eugenio Aguirre
"Leona Vicario, la insurgente",fue_escrito_por,Eugenio Aguirre
"Leona Vicario, la insurgente (Personajes mexicanos)",fue_escrito_por,Eugenio Aguirre
Los niños de colores,fue_escrito_por,Eugenio Aguirre
Loteria Del Deseo,fue_escrito_por,Eugenio Aguirre
Victoria,fue_escrito_por,Eugenio Aguirre
Angeles y demonios,fue_escrito_por,Eugenio Aguirre
Pecar como Dios manda,fue_escrito_por,Eugenio Aguirre
Los conspiradores 2,fue_escrito_por,Eugenio Aguirre
Crónicas de una ciudad ganada,fue_escrito_por,Eugenio Aguirre
La novela histórica,fue_escrito_por,Eugenio Aguirre
Ruiz Massieu,fue_escrito_por,Eugenio Aguirre
México negro y querido,fue_escrito_por,Eugenio Aguirre
Los sacramentos olvidados,fue_escrito_por,Ociel Flores Flores
Ocho escritores latinoamericanos del siglo XX,fue_escrito_por,Ociel Flores Flores
Nudo de serpientes,fue_escrito_por,Alejandro Aldana Sellschopp
El cuento en Chiapas (1913-2015),fue_escrito_por,Alejandro Aldana Sellschopp
La novela en Chiapas,fue_escrito_por,Alejandro Aldana Sellschopp
"Años de carnaval, o, Apuntes para una historia del cinismo",fue_escrito_por,Alejandro Aldana Sellschopp
Donde nace la noche,fue_escrito_por,Alejandro Aldana Sellschopp
Los abismos de la palabra,fue_escrito_por,Alejandro Aldana Sellschopp
Sk'ejimol yut yo'on xch'ulel balamil,fue_escrito_por,Alejandro Aldana Sellschopp
Entre vistas,fue_escrito_por,Alejandro Aldana Sellschopp
Tiempo a contrapunto,fue_escrito_por,Alejandro Aldana Sellschopp
Misereres y exsultates,fue_escrito_por,Celine Armenta
Principios de incertidumbre,fue_escrito_por,Celine Armenta
Los nuestros,fue_escrito_por,Conrado Roche Reyes
Yucanrol,fue_escrito_por,Conrado Roche Reyes
Escritores mexicanos en el periódico El Sol de Madrid,fue_escrito_por,María de Lourdes Franco Bagnouls
Los dones del espejo,fue_escrito_por,María de Lourdes Franco Bagnouls
Letras de México,fue_escrito_por,María de Lourdes Franco Bagnouls
Literatura hispanoamericana,fue_escrito_por,María de Lourdes Franco Bagnouls
Roberto Orozco Melo,fue_escrito_por,Roberto Orozco Melo
Uno es lo suyo,fue_escrito_por,Roberto Orozco Melo
Oscar Flores Tapia,fue_escrito_por,Roberto Orozco Melo
"Saltillo, gobierno municipal, 1900-2005",fue_escrito_por,Roberto Orozco Melo
De carne y huesos,fue_escrito_por,Roberto Orozco Melo
"Salvador Gallardo Topete, el hijo",fue_escrito_por,Ilse Díaz Márquez
Premios universitarios de literatura,fue_escrito_por,Ilse Díaz Márquez
Los ojos ajenos,fue_escrito_por,Javier Villarreal Lozano
Cartas de Querétaro,fue_escrito_por,Javier Villarreal Lozano
Coahuila,fue_escrito_por,Javier Villarreal Lozano
El mundo literario de Oscar Flores Tapia,fue_escrito_por,Javier Villarreal Lozano
La letra sin sangre entra,fue_escrito_por,Javier Villarreal Lozano
Oscar Flores Tapia,fue_escrito_por,Javier Villarreal Lozano
"Venustiano Carranza, gobernador de Coahuila",fue_escrito_por,Javier Villarreal Lozano
Carranza,fue_escrito_por,Javier Villarreal Lozano
Coahuilenses olvidados,fue_escrito_por,Javier Villarreal Lozano
"Abuelo, cuéntame cómo era Saltillo",fue_escrito_por,Javier Villarreal Lozano
Venustiano Carranza,fue_escrito_por,Javier Villarreal Lozano
Melchor Múzquiz,fue_escrito_por,Javier Villarreal Lozano
"¡Ay, Saltillo!, si tus calles hablaran...",fue_escrito_por,Javier Villarreal Lozano
Tiempos de tormenta,fue_escrito_por,Javier Villarreal Lozano
Coahuila (1910-2010),fue_escrito_por,Javier Villarreal Lozano
Graduación,fue_escrito_por,Javier Villarreal Lozano
Compendio de historia de la ciudad de San Luis Potosí,fue_escrito_por,José Francisco Pedraza Montes
Apuntes históricos de la Universidad Autónoma de San Luis Potosí,fue_escrito_por,José Francisco Pedraza Montes
Ramón López Velarde en San Luis Potosí,fue_escrito_por,José Francisco Pedraza Montes
Apuntes históricos de la Universidad Autónoma de San Luis Potosí,fue_escrito_por,José Francisco Pedraza Montes
José Eleuterio González,fue_escrito_por,Aureliano Tapia Méndez
Retablo episcopal,fue_escrito_por,Aureliano Tapia Méndez
Monseñor Joaquín Antonio Peñalosa Santillana,fue_escrito_por,Aureliano Tapia Méndez
De la Estancia de Castaño y la Hacienda de San Francisco a la ciudad de Apodaca,fue_escrito_por,Aureliano Tapia Méndez
José Eleuterio González,fue_escrito_por,Aureliano Tapia Méndez
"José Antonio Plancarte y Labastida, profeta y martir",fue_escrito_por,Aureliano Tapia Méndez
Alfonso Reyes ante Dios y ante la muerte,fue_escrito_por,Aureliano Tapia Méndez
Fray José María de Jesus Belaunzarán y Ureña,fue_escrito_por,Aureliano Tapia Méndez
"Fray Rafael José Verger y Suau, el obispo constructor",fue_escrito_por,Aureliano Tapia Méndez
La angélica Madre Genoveva,fue_escrito_por,Aureliano Tapia Méndez
La coronación de la milagrosa imagen del Tepeyac,fue_escrito_por,Aureliano Tapia Méndez
"La creación del primitivo Obispado de Linares, 1777",fue_escrito_por,Aureliano Tapia Méndez
La Sociedad Numismática de Monterrey,fue_escrito_por,Aureliano Tapia Méndez
Autodefensa espiritual de sor Juana,fue_escrito_por,Aureliano Tapia Méndez
Doña Iuana Ynes de Asuage ante la historia,fue_escrito_por,Aureliano Tapia Méndez
Don Andrés Ambrosio de Llanos y Valdés,fue_escrito_por,Aureliano Tapia Méndez
El diario de don José Ignacio Montes de Oca y Obregón-Ipandro Acaico,fue_escrito_por,Aureliano Tapia Méndez
El licenciado don Santiago Roel Melo,fue_escrito_por,Aureliano Tapia Méndez
"El  siervo de Dios, Jose Antonio Plancarte y Labastida",fue_escrito_por,Aureliano Tapia Méndez
Ipandro Acaico,fue_escrito_por,Aureliano Tapia Méndez
José Eleuterio Gonzalez,fue_escrito_por,Aureliano Tapia Méndez
La catedral del Nuevo Reino de Leon,fue_escrito_por,Aureliano Tapia Méndez
Mis oraciones,fue_escrito_por,Aureliano Tapia Méndez
Pablo Cervantes,fue_escrito_por,Aureliano Tapia Méndez
Ventana del alma,fue_escrito_por,Aureliano Tapia Méndez
Fray Antonio de Jesús Sacedón,fue_escrito_por,Aureliano Tapia Méndez
La Virgen Chiquita,fue_escrito_por,Aureliano Tapia Méndez
"Don Guillermo Tritschler y Córdova, siervo de Dios, sexto Obispo de San Luis Potosí, séptimo Arzobispo de Monterrey",fue_escrito_por,Aureliano Tapia Méndez
Novena en honor de Nuestra Señora de Guadalupe,fue_escrito_por,Aureliano Tapia Méndez
Emiliano Pérez Cruz,fue_escrito_por,Josefina Estrada
Señas Particulares,fue_escrito_por,Josefina Estrada
Arte de Nezahualcóyotl,fue_escrito_por,Josefina Estrada
Mujeres de oriente,fue_escrito_por,Josefina Estrada
Malagato para morir iguales,fue_escrito_por,Josefina Estrada
Con la rienda suelta,fue_escrito_por,Josefina Estrada
Desde que Dios amanece,fue_escrito_por,Josefina Estrada
Domingo es buen día para morir,fue_escrito_por,Josefina Estrada
Joaquín Pardavé,fue_escrito_por,Josefina Estrada
Malagato,fue_escrito_por,Josefina Estrada
Para morir iguales,fue_escrito_por,Josefina Estrada
Roberto Ruiz,fue_escrito_por,Josefina Estrada
Roberto Ruiz: Maravilla Del Mundo/Roberto Ruiz,fue_escrito_por,Josefina Estrada
Virgen de medianoche,fue_escrito_por,Josefina Estrada
Piel bandida,fue_escrito_por,Josefina Estrada
De otro modo el hombre,fue_escrito_por,Josefina Estrada
Vigencia de la Constitución de 1917,fue_escrito_por,Mexico. Secretaría de Gobernación
El Municipio y el desarrollo rural integral,fue_escrito_por,Mexico. Secretaría de Gobernación
Constituciones Políticas de Los Estados de la República Mexicana; Volume 1,fue_escrito_por,Mexico. Secretaría de Gobernación
Encuesta sobre migración,fue_escrito_por,Mexico. Secretaría de Gobernación
Colección Enciclopedia de los municipios de México,fue_escrito_por,Mexico. Secretaría de Gobernación
Escritores en la diplomacia mexicana,fue_escrito_por,Mexico. Secretaría de Gobernación
El Municipio y el agua,fue_escrito_por,Mexico. Secretaría de Gobernación
Archivos,fue_escrito_por,Mexico. Secretaría de Gobernación
Los nuevos retos de la gobernabilidad democrática,fue_escrito_por,Mexico. Secretaría de Gobernación
La Secretaría de Gobernación,fue_escrito_por,Mexico. Secretaría de Gobernación
Valores para una cultura de le legalidad,fue_escrito_por,Mexico. Secretaría de Gobernación
Constituciones Políticas de Los Estados de la República Mexicana; Volume 2,fue_escrito_por,Mexico. Secretaría de Gobernación
Constituciones políticas de los estados de la República mexicana,fue_escrito_por,Mexico. Secretaría de Gobernación
Crónica oficial de las fiestas del primer centenario de la independencia de México,fue_escrito_por,Mexico. Secretaría de Gobernación
"Entrevista de los Presidentes de México y los Estados Unidos de América en la Ciudad de México, junio-julio, 1962. Meeting of the Presidents of Mexico and the United States of American in Mexico City, June-July, 1962",fue_escrito_por,Mexico. Secretaría de Gobernación
Instrucciones para eligir presidente y vicepresidente de la república,fue_escrito_por,Mexico. Secretaría de Gobernación
Memoria de la Secretaría de Gobernación,fue_escrito_por,Mexico. Secretaría de Gobernación
Secretaría de Gobernación,fue_escrito_por,Mexico. Secretaría de Gobernación
Seis años de actividad nacional,fue_escrito_por,Mexico. Secretaría de Gobernación
"Encuesta sobre migración en la Frontera Norte de México, 2011",fue_escrito_por,Mexico. Secretaría de Gobernación
Memoria que presenta al Congreso de la unión el general Manuel González Cosío,fue_escrito_por,Mexico. Secretaría de Gobernación
Reglamento para el regimen interior de la Secretaría de estado y del despacho de gobernación,fue_escrito_por,Mexico. Secretaría de Gobernación
"Entrevista de los Presidentes de México y los Estados Unidos de America en la Ciudad de México, junio-julio, 1962",fue_escrito_por,Mexico. Secretaría de Gobernación
Monumento á la Independencia,fue_escrito_por,Mexico. Secretaría de Gobernación
Memoria que comprende el período del 1⁰. de agosto de 1929 al 31 de julio de 1930,fue_escrito_por,Mexico. Secretaría de Gobernación
Bases jurídicas del municipio mexicano,fue_escrito_por,Mexico. Secretaría de Gobernación
1789-1989 bicentenario de la declaración de los derechos del hombre y del ciudadano,fue_escrito_por,Mexico. Secretaría de Gobernación
Archivos tropicales,fue_escrito_por,Mexico. Secretaría de Gobernación
La Vida colonial,fue_escrito_por,Mexico. Secretaría de Gobernación
Los Municipios de Chiapas,fue_escrito_por,Mexico. Secretaría de Gobernación
"Reglamento de andamios para construcción, reparación o pintura de edificios",fue_escrito_por,Mexico. Secretaría de Gobernación
Los Municipios de Nayarit,fue_escrito_por,Mexico. Secretaría de Gobernación
Los Municipios de Nuevo León,fue_escrito_por,Mexico. Secretaría de Gobernación
Los Municipios de Puebla,fue_escrito_por,Mexico. Secretaría de Gobernación
Los Municipios de Querétaro,fue_escrito_por,Mexico. Secretaría de Gobernación
Los Municipios de San Luis Potosí,fue_escrito_por,Mexico. Secretaría de Gobernación
Los Municipios de Sinaloa,fue_escrito_por,Mexico. Secretaría de Gobernación
Los municipios de Tamaulipas,fue_escrito_por,Mexico. Secretaría de Gobernación
Los Municipios de Tlaxcala,fue_escrito_por,Mexico. Secretaría de Gobernación
Los Municipios de Veracruz,fue_escrito_por,Mexico. Secretaría de Gobernación
Los Municipios de Yucatán,fue_escrito_por,Mexico. Secretaría de Gobernación
Los Municipios de Guerrero,fue_escrito_por,Mexico. Secretaría de Gobernación
Los Municipios de Baja California,fue_escrito_por,Mexico. Secretaría de Gobernación
Los Municipios de Chihuahua,fue_escrito_por,Mexico. Secretaría de Gobernación
Los Municipios de Coahuila,fue_escrito_por,Mexico. Secretaría de Gobernación
Los Municipios de Colima,fue_escrito_por,Mexico. Secretaría de Gobernación
Los Municipios del Estado de México,fue_escrito_por,Mexico. Secretaría de Gobernación
Los Municipios de Guanajuato,fue_escrito_por,Mexico. Secretaría de Gobernación
Los Municipios de Hidalgo,fue_escrito_por,Mexico. Secretaría de Gobernación
Los Municipios de Jalisco,fue_escrito_por,Mexico. Secretaría de Gobernación
Los Municipios de Michoacán,fue_escrito_por,Mexico. Secretaría de Gobernación
Los Municipios de Morelos,fue_escrito_por,Mexico. Secretaría de Gobernación
Los Municipios de Quintana Roo,fue_escrito_por,Mexico. Secretaría de Gobernación
Los Municipios de Tabasco,fue_escrito_por,Mexico. Secretaría de Gobernación
Informe de ejecución del PNDH 2005,fue_escrito_por,Mexico. Secretaría de Gobernación
Los Municipios de Sonora,fue_escrito_por,Mexico. Secretaría de Gobernación
Los Municipios de Baja California Sur,fue_escrito_por,Mexico. Secretaría de Gobernación
Los municipios de Zacatecas,fue_escrito_por,Mexico. Secretaría de Gobernación
El sistema de Justicia penal Mexicano,fue_escrito_por,Mexico. Secretaría de Gobernación
"Orden jurídico, cultura de la legalidad y educación en México",fue_escrito_por,Mexico. Secretaría de Gobernación
Documentos históricos sobre la defensa de Chapultepec,fue_escrito_por,Mexico. Secretaría de Gobernación
Renovación política,fue_escrito_por,Mexico. Secretaría de Gobernación
Cuadernos de renovación nacional,fue_escrito_por,Mexico. Secretaría de Gobernación
"Informe que por acuerdo expreso del presidente, rinde el secretario de Gobernación a las ...",fue_escrito_por,Mexico. Secretaría de Gobernación
Los Municipios de Durango,fue_escrito_por,Mexico. Secretaría de Gobernación
Ley de imprenta,fue_escrito_por,Mexico. Secretaría de Gobernación
Reglamento de sanidad marítima de la República Mexicana,fue_escrito_por,Mexico. Secretaría de Gobernación
Reglamentos sobre establecimientos peligrosos,fue_escrito_por,Mexico. Secretaría de Gobernación
Ley reglamentaria del artículo 130 de la Constitutción federal,fue_escrito_por,Mexico. Secretaría de Gobernación
Informe General Que el Excmo. Sr. Marqués de Sonora Siendo Visitador General de Este Reyno Al Excmo. Sr. Virrey Frey D. Antonio Bucarely y Ursua,fue_escrito_por,Mexico. Secretaría de Gobernación
Reglamento para los teatros de México,fue_escrito_por,Mexico. Secretaría de Gobernación
Reglamento de juegos en el Distrito Federal,fue_escrito_por,Mexico. Secretaría de Gobernación
Ley orgánica de los tribunales del fuero común en el Distrito y territorios federales,fue_escrito_por,Mexico. Secretaría de Gobernación
Ley orgánica de los tribunales del fuero común del Distrito y territorios federales,fue_escrito_por,Mexico. Secretaría de Gobernación
Islas Mexicanas,fue_escrito_por,Mexico. Secretaría de Gobernación
La mendicidad en México,fue_escrito_por,Mexico. Secretaría de Gobernación
Prontuario,fue_escrito_por,Mexico. Secretaría de Gobernación
[Informe,fue_escrito_por,Mexico. Secretaría de Gobernación
"Código de organización, de competencia y de procedimientos en materia penal",fue_escrito_por,Mexico. Secretaría de Gobernación
Código penal para el Distrito y territorios federales,fue_escrito_por,Mexico. Secretaría de Gobernación
"Coleccion de leyes y disposiciones gubernativas municipales y de policia, vigentes en el Distrito Federal, formada por acuerdo del C.Gobernador Lic. Carlos Rivas y publicada bajo la direccion del Secretario de Gobierno C. Lic. Nicolas Islas y Bustamante",fue_escrito_por,Mexico. Secretaría de Gobernación
Crimen y castigo,fue_escrito_por,Juan López
"Old Patagonian Express, The",fue_escrito_por,Juan López
Manual de traducción,fue_escrito_por,Juan López
La Huasteca,fue_escrito_por,Juan López
La Alcarria en los dos primeros siglos de su reconquista,fue_escrito_por,Juan López
Interprétation et surinterpretation,fue_escrito_por,Juan López
Ensayo de una tipografia complutense,fue_escrito_por,Juan López
Biblioteca de escritores de la provincia de Guadalajara,fue_escrito_por,Juan López
Biblioteca de escritores de la provincia de Guadalajara y bibliografía de la misma hasta el siglo XIX,fue_escrito_por,Juan López
"Discursos leídos ante la Real Academia de la História, en la junta pública de 16 de junio de 1907",fue_escrito_por,Juan López
Relaciones topográficas de España,fue_escrito_por,Juan López
Vuelos arqueológicos,fue_escrito_por,Juan López
Biblioteca de escritores de la provincia de Guadalajara y bibliografía de la misma hasta el siglo XIX,fue_escrito_por,Juan López
Ensayo de una tipografía complutense,fue_escrito_por,Juan López
Good morning Go Cong,fue_escrito_por,Juan López
La transición en Toledo (1973-1983),fue_escrito_por,Juan López
Parnaso español,fue_escrito_por,Juan López
Parnaso español,fue_escrito_por,Juan López
Jael,fue_escrito_por,Juan López
Juan Negrín López (1892-1956),fue_escrito_por,Juan López
L'imaginaire de la Commune,fue_escrito_por,Juan López
Constitución y ordenamiento jurídico,fue_escrito_por,Juan López
"Guerra de La Independencia, 1808-1814",fue_escrito_por,Juan López
Guía terapéutica del animal de compañía,fue_escrito_por,Juan López
Informe de D. Juan Negrin a los Republicanos Españoles,fue_escrito_por,Juan López
Negrín y Prieto culpables de alta traicion,fue_escrito_por,Juan López
La agresión italo-alemana contra España,fue_escrito_por,Juan López
Discurso del Presidente del Consejo y Ministro de Defensa D. Juan Negrín pronunciado en Madrid en 18 de Junio de 1938,fue_escrito_por,Juan López
"Speech by Dr. Negrin, President of the Council of Ministers (Barcelona, 14th October, 1938)",fue_escrito_por,Juan López
Un gobernante digno de su pueblo,fue_escrito_por,Juan López
"[A collection of seven letters exchanged between Spanish republican leaders in Mexico City during the month of June, 1939]",fue_escrito_por,Juan López
Discurso de D. Juan Negrin,fue_escrito_por,Juan López
Discurso del presidente del consejo de ministros Don Juan Negrín,fue_escrito_por,Juan López
Geografía y descripción universal de las Indias,fue_escrito_por,Juan López
Cartograf©Ưa hist©đrica de la Nueva Galicia,fue_escrito_por,Juan López
Failed,fue_escrito_por,Juan López
Rebeldes,fue_escrito_por,Juan López
La agonía del psicoanálisis,fue_escrito_por,Juan López
Sobre poesía posfranquista,fue_escrito_por,Juan López
El alma de la madera,fue_escrito_por,Juan López
El rey Midas,fue_escrito_por,Juan López
Guía práctica de psicología,fue_escrito_por,Juan López
Curso de prevención de riesgos laborales,fue_escrito_por,Juan López
