Obra,Relación,País del Autor
Colección palabra viva,el_autor_es_del_pais,Mexico
José María Arguedas,el_autor_es_del_pais,Mexico
La Palabra viva,el_autor_es_del_pais,Mexico
Alejandra Pizarnik,el_autor_es_del_pais,Mexico
Poesia Completa De Alejandra Pizarnik (Poesias Completas),el_autor_es_del_pais,Mexico
Prosa Completa (Palabra en el Tiempo),el_autor_es_del_pais,Mexico
Diarios,el_autor_es_del_pais,Mexico
La condesa sangrienta,el_autor_es_del_pais,Mexico
Correspondencia Pizarnik,el_autor_es_del_pais,Mexico
"Alejandra Pizarnik, León Ostrov",el_autor_es_del_pais,Mexico
"En Esta Noche, en Este Mundo",el_autor_es_del_pais,Mexico
Arbol de Diana,el_autor_es_del_pais,Mexico
Textos de sombra y últimos poemas,el_autor_es_del_pais,Mexico
La tierra más ajena,el_autor_es_del_pais,Mexico
Nueva correspondencia Pizarnik,el_autor_es_del_pais,Mexico
Alejandra Pizarnik - Textos Selectos,el_autor_es_del_pais,Mexico
El infierno musical [por] Alejandra Pizarnik,el_autor_es_del_pais,Mexico
A Musical Hell,el_autor_es_del_pais,Mexico
"Poemas, antología",el_autor_es_del_pais,Mexico
Diarios/ Diaries,el_autor_es_del_pais,Mexico
El deseo de la palabra,el_autor_es_del_pais,Mexico
Extraccion de La Piedra de Locura (Colección Visor de poesia),el_autor_es_del_pais,Mexico
La última inocencia,el_autor_es_del_pais,Mexico
La última inocencia: y Las aventuras perdidas,el_autor_es_del_pais,Mexico
La tierra mas ajena,el_autor_es_del_pais,Mexico
"Diario, 1960-1961",el_autor_es_del_pais,Mexico
Extracción de la piedra de locura,el_autor_es_del_pais,Mexico
Obras completas,el_autor_es_del_pais,Mexico
Dos letras,el_autor_es_del_pais,Mexico
Dos poemas iniciales,el_autor_es_del_pais,Mexico
"La última inocencia ; y, Las aventuras perdidas",el_autor_es_del_pais,Mexico
Poemas,el_autor_es_del_pais,Mexico
Fragmentos de un diario,el_autor_es_del_pais,Mexico
El infierno musical,el_autor_es_del_pais,Mexico
La extracción de la piedra de locura [y] otros poemas,el_autor_es_del_pais,Mexico
Nombres y figuras,el_autor_es_del_pais,Mexico
Obra completa,el_autor_es_del_pais,Mexico
Obras selectas,el_autor_es_del_pais,Mexico
Poesía (1955-1972),el_autor_es_del_pais,Mexico
Poesía y prosas,el_autor_es_del_pais,Mexico
Prosa poética,el_autor_es_del_pais,Mexico
Semblanza,el_autor_es_del_pais,Mexico
Zona prohibida,el_autor_es_del_pais,Mexico
Los trabajos y las noches,el_autor_es_del_pais,Mexico
A mi viejo,el_autor_es_del_pais,Mexico
Las aventuras perdidas,el_autor_es_del_pais,Mexico
Guía de Práctica Clínica de Las Complicaciones de la Mano Traumática,el_autor_es_del_pais,Mexico
El karma de vivir al norte,el_autor_es_del_pais,Mexico
La efeba salvaje,el_autor_es_del_pais,Mexico
La biblia vaquera,el_autor_es_del_pais,Mexico
365 Juegos de Todo El Mundo,el_autor_es_del_pais,Mexico
Loca academia de astronautas,el_autor_es_del_pais,Mexico
Despachador de pollo frito,el_autor_es_del_pais,Mexico
Menonita Zen,el_autor_es_del_pais,Mexico
De Santo Domingo al mundo,el_autor_es_del_pais,Mexico
La marrana negra de la literatura rosa,el_autor_es_del_pais,Mexico
El pericazo sarniento,el_autor_es_del_pais,Mexico
Cristo Inerte,el_autor_es_del_pais,Mexico
Venganza Del Muñeco Roto,el_autor_es_del_pais,Mexico
Ton4 y el Asesino de Ignorantes,el_autor_es_del_pais,Mexico
Saurorn y Luminda,el_autor_es_del_pais,Mexico
Habitación Blanca en la Oscuridad,el_autor_es_del_pais,Mexico
Libro 23 Del Ladrón de Almas,el_autor_es_del_pais,Mexico
Toni Zarco,el_autor_es_del_pais,Mexico
Verdad Del Futuro Tomo I,el_autor_es_del_pais,Mexico
Estudios avanzados de derecho internacional público en ciencias políticas y sociales,el_autor_es_del_pais,Mexico
Apuntes de derecho internacional,el_autor_es_del_pais,Mexico
La política internacional en la pensamiento de Luis Alberto de Herrera,el_autor_es_del_pais,Mexico
Educacion Fisica Para la Paz,el_autor_es_del_pais,Mexico
La politica internacional en el pensamiento de Luis Alberto de Herrera,el_autor_es_del_pais,Mexico
La política internacional en el pensamiento de Luis Alberto de Herrera,el_autor_es_del_pais,Mexico
"Repertorio de la jurisprudencia del Tribunal de lo Contencioso Administrativo, 1952-1956",el_autor_es_del_pais,Mexico
Automatización del crédito bancario a empresas,el_autor_es_del_pais,Mexico
Cinco temas de derecho laboral en Venezuela,el_autor_es_del_pais,Mexico
La protección internacional de la libertad de enseñanza,el_autor_es_del_pais,Mexico
El Uruguay y las Naciones Unidas (1959-1965),el_autor_es_del_pais,Mexico
Confesión de Pilatos,el_autor_es_del_pais,Mexico
Arbitrariedades,el_autor_es_del_pais,Mexico
Nuevos Desarrollos Tematicos Para El Estudio Del Derecho Internacional,el_autor_es_del_pais,Mexico
20,el_autor_es_del_pais,Mexico
Esencia,el_autor_es_del_pais,Mexico
29 de Septiembre De 1976,el_autor_es_del_pais,Mexico
Vieja Underwood; Érase una Vez...,el_autor_es_del_pais,Mexico
Cala Del Hombre Muerto,el_autor_es_del_pais,Mexico
Presente No Es Presente,el_autor_es_del_pais,Mexico
Sufrimientos,el_autor_es_del_pais,Mexico
Brevísima y Verdadera Historia de la Navidad,el_autor_es_del_pais,Mexico
Diario de un EnsueÑo,el_autor_es_del_pais,Mexico
Verdad Del Futuro. Tomo I. Reflexiones,el_autor_es_del_pais,Mexico
Molde de Amor,el_autor_es_del_pais,Mexico
Costumbres y Formas de Vida. FÁbulas. Tomo II,el_autor_es_del_pais,Mexico
Naturaleza Se Expresa. FÁbulas. Tomo I,el_autor_es_del_pais,Mexico
Indalecio Prieto y el socialismo español,el_autor_es_del_pais,Mexico
Preparando el Camino,el_autor_es_del_pais,Mexico
Obecalp,el_autor_es_del_pais,Mexico
Merengue y la Bachata,el_autor_es_del_pais,Mexico
Feliú y el Secreto Del Grial,el_autor_es_del_pais,Mexico
Zarco,el_autor_es_del_pais,Mexico
El derecho internacional público en la agenda política de las relaciones internacionales,el_autor_es_del_pais,Mexico
Maldición de Heliké,el_autor_es_del_pais,Mexico
Destino de Feliú Gruixot,el_autor_es_del_pais,Mexico
Akra Leuké y Las 13 Calaveras de Cristal,el_autor_es_del_pais,Mexico
"Breve practica, y regimen del confessonario [sic] de Indios, en mexicano, y castellano; para instruccion del confessor principiante, habilitacion, y examen del penitente",el_autor_es_del_pais,Mexico
La agenda pendiente de la migración,el_autor_es_del_pais,Mexico
Avis,el_autor_es_del_pais,Mexico
Skater en la Sombra,el_autor_es_del_pais,Mexico
El escorpión negro,el_autor_es_del_pais,Mexico
Lesiones Traumáticas de Mano y Muñeca,el_autor_es_del_pais,Mexico
Revista Del Colegio de Abogados de Puerto Rioco,el_autor_es_del_pais,Mexico
Uso de Las Tecnologías de la Información y Comunicación en el Desempeño de Jóvenes Universitarios,el_autor_es_del_pais,Mexico
Ley y Foro 2013 1-2-3,el_autor_es_del_pais,Mexico
Palabras Mayores,el_autor_es_del_pais,Mexico
Utopía y poder en Europa y América,el_autor_es_del_pais,Mexico
Once autobiografías precoces y un solo proyecto,el_autor_es_del_pais,Mexico
Hernán Cortés y el Nuevo Mundo,el_autor_es_del_pais,Mexico
Por mi alma os digo,el_autor_es_del_pais,Mexico
Narcisos de tinta,el_autor_es_del_pais,Mexico
Contando Estrellas/ Counting Stars (Vida Escrita Por las Mujeres),el_autor_es_del_pais,Mexico
Carlos Castilla Del Pino (Atalaya),el_autor_es_del_pais,Mexico
La pluma como espada/ The Feather as a Sword (Vida Escrita Por las Mujeres),el_autor_es_del_pais,Mexico
Lo Mio Es Escribir Siglo XX (Ensayo),el_autor_es_del_pais,Mexico
Francisco Umbral,el_autor_es_del_pais,Mexico
Sobre la vida y obra de Paulino Masip,el_autor_es_del_pais,Mexico
Pasé la mañana escribiendo,el_autor_es_del_pais,Mexico
Umbral,el_autor_es_del_pais,Mexico
La vida escrita por las mujeres,el_autor_es_del_pais,Mexico
El bolso de Ana Karenina,el_autor_es_del_pais,Mexico
Carlos Castilla del Pino,el_autor_es_del_pais,Mexico
Una Breve Historia De La Misoginia/ A Brif History of the Misogyny,el_autor_es_del_pais,Mexico
La collatio emancipati (Estudios juridicos),el_autor_es_del_pais,Mexico
Una mujer en fuga: Biografia de Carmen Laforet (Spanish Edition),el_autor_es_del_pais,Mexico
Concepción Arenal,el_autor_es_del_pais,Mexico
Lo mío es escribir,el_autor_es_del_pais,Mexico
¿Por qué España?,el_autor_es_del_pais,Mexico
Bibliofilia y amistad,el_autor_es_del_pais,Mexico
Autobiografía y literatura árabe,el_autor_es_del_pais,Mexico
Amazonas y modelos,el_autor_es_del_pais,Mexico
"Antonio Machado, el poeta y su doble",el_autor_es_del_pais,Mexico
Volición y metateatralidad,el_autor_es_del_pais,Mexico
Amalia de Castillo Ledón,el_autor_es_del_pais,Mexico
Entre vuestras plumas ando ...,el_autor_es_del_pais,Mexico
Catalina D'Erzell,el_autor_es_del_pais,Mexico
Volición y metateatralidad,el_autor_es_del_pais,Mexico
La dramaturgia femenina y el corrido mexicano teatralizado,el_autor_es_del_pais,Mexico
La revolución y el nacionalismo en el teatro mexicano,el_autor_es_del_pais,Mexico
"Prototipos, cuerpo, género y escritura",el_autor_es_del_pais,Mexico
La inmaculada concepción del humor,el_autor_es_del_pais,Mexico
"El comercio, los negocios y las finanzas en el mundo romano",el_autor_es_del_pais,Mexico
Safari,el_autor_es_del_pais,Mexico
Arcana,el_autor_es_del_pais,Mexico
Proyectos en Hierro para Interiores,el_autor_es_del_pais,Mexico
Elixir,el_autor_es_del_pais,Mexico
La sonrisa de un ángel,el_autor_es_del_pais,Mexico
Desarrollo del lenguaje y cognición,el_autor_es_del_pais,Mexico
Visiones del hábitat en América Latina,el_autor_es_del_pais,Mexico
El exilio teatral republicano de 1939,el_autor_es_del_pais,Mexico
"Diccionario biobibliográfico de los escritores, editoriales",el_autor_es_del_pais,Mexico
Puentes de diálogo entre el exilio republicano de 1939 y el interior,el_autor_es_del_pais,Mexico
Erótica Del Guisante,el_autor_es_del_pais,Mexico
Mujer e igualdad,el_autor_es_del_pais,Mexico
diarios. expedicion de mina. mexico,el_autor_es_del_pais,Mexico
El Hilo de Ariadna en la Sociedad del Conocimiento,el_autor_es_del_pais,Mexico
El gobierno de las universidades,el_autor_es_del_pais,Mexico
Leona,el_autor_es_del_pais,Mexico
Violencia y periodismo regional en México,el_autor_es_del_pais,Mexico
El camino del fuego,el_autor_es_del_pais,Mexico
"Hemerografía mínima de Guadalajara, 1809-1864",el_autor_es_del_pais,Mexico
La disputa por las conciencias,el_autor_es_del_pais,Mexico
La gaceta de Guadalajara (1902-1914),el_autor_es_del_pais,Mexico
La primera generación romántica en Guadalajara,el_autor_es_del_pais,Mexico
Manantial de arena,el_autor_es_del_pais,Mexico
Historia de la prensa en Iberoamérica,el_autor_es_del_pais,Mexico
"Prensa, revolución y vida cotidiana en Veracruz, 1910-1915",el_autor_es_del_pais,Mexico
Los nuevos objetos culturales en Iberoamérica,el_autor_es_del_pais,Mexico
Pasado y presente,el_autor_es_del_pais,Mexico
Hollywood era el cielo,el_autor_es_del_pais,Mexico
Periodismo de Frontera en América Latina,el_autor_es_del_pais,Mexico
Callar o morir en Veracruz,el_autor_es_del_pais,Mexico
"Catálogo de la hemerografía de Jalisco, 1808-1950",el_autor_es_del_pais,Mexico
Adictas a la insurgencia,el_autor_es_del_pais,Mexico
"Cultura, comunicación y política",el_autor_es_del_pais,Mexico
La prensa como fuente para la historia,el_autor_es_del_pais,Mexico
Rompecabezas de papel,el_autor_es_del_pais,Mexico
"Catálogo de la hemerografía de Veracruz, 1795-1950",el_autor_es_del_pais,Mexico
"Siete regiones de la prensa en México, 1792-1950",el_autor_es_del_pais,Mexico
El ensayo literario,el_autor_es_del_pais,Mexico
Testigo de la violencia,el_autor_es_del_pais,Mexico
"""Porque la lucha por un hijo no termina...""",el_autor_es_del_pais,Mexico
La prensa decimonónica en México,el_autor_es_del_pais,Mexico
El nosotros desde nuestra mirada,el_autor_es_del_pais,Mexico
Memoria roja,el_autor_es_del_pais,Mexico
Los años heridos,el_autor_es_del_pais,Mexico
Cementerio de papel,el_autor_es_del_pais,Mexico
Cementerio De Papel/ Cementery of Paper,el_autor_es_del_pais,Mexico
Coleccionista de estrellas,el_autor_es_del_pais,Mexico
El barco de la ilusion,el_autor_es_del_pais,Mexico
Veinte de cobre,el_autor_es_del_pais,Mexico
Colecciónista de estrellas,el_autor_es_del_pais,Mexico
El barco de la ilusión,el_autor_es_del_pais,Mexico
Un pueblo en campaña,el_autor_es_del_pais,Mexico
Voces en rebelión,el_autor_es_del_pais,Mexico
Todo es posible en la paz,el_autor_es_del_pais,Mexico
El hilo del Minotauro. Cuentistas Mexicanos incalsificables (Biblioteca Universitaria De Bolsillo),el_autor_es_del_pais,Mexico
Lectario de narrativa mexicana,el_autor_es_del_pais,Mexico
El imperio de las voces,el_autor_es_del_pais,Mexico
Universo Francisco Tario,el_autor_es_del_pais,Mexico
Petróleo y ecodesarrollo en el sureste de México,el_autor_es_del_pais,Mexico
Riqueza y pobreza en la costa de Chiapas y Oaxaca,el_autor_es_del_pais,Mexico
Estación Joyce,el_autor_es_del_pais,Mexico
"Energía, ambiente y desarrollo",el_autor_es_del_pais,Mexico
A sol y asombro,el_autor_es_del_pais,Mexico
Atardecer con lluvia,el_autor_es_del_pais,Mexico
De puno d eletra,el_autor_es_del_pais,Mexico
El fantasma en el espejo,el_autor_es_del_pais,Mexico
Cómo destruir el paraíso,el_autor_es_del_pais,Mexico
El delta del río Balsas,el_autor_es_del_pais,Mexico
El pantano,el_autor_es_del_pais,Mexico
Geopolítica y desarrollo en el Istmo de Tehuantepec,el_autor_es_del_pais,Mexico
La batalla de Gutiérrez Vivó,el_autor_es_del_pais,Mexico
Los márgenes de la palabra,el_autor_es_del_pais,Mexico
La palabra en acción,el_autor_es_del_pais,Mexico
Crecer para incluir,el_autor_es_del_pais,Mexico
Creación y poder,el_autor_es_del_pais,Mexico
Un líder sin fronteras,el_autor_es_del_pais,Mexico
Perú y América Latina en crisis,el_autor_es_del_pais,Mexico
Sidonia,el_autor_es_del_pais,Mexico
Planificación de sistemas socioecológicos complejos,el_autor_es_del_pais,Mexico
Las Otras caras de la sociedad informal,el_autor_es_del_pais,Mexico
Poemas y narraciones sobre el movimiento estudiantil de 1968,el_autor_es_del_pais,Mexico
Literatura,el_autor_es_del_pais,Mexico
Propiedad y organización rural en el México moderno,el_autor_es_del_pais,Mexico
Alebrijes,el_autor_es_del_pais,Mexico
Sistemas jurídicos de la pluriculturalidad en México,el_autor_es_del_pais,Mexico
Chiapas,el_autor_es_del_pais,Mexico
Chiapas: La guerra de los signos,el_autor_es_del_pais,Mexico
Los caminos de la izquierda,el_autor_es_del_pais,Mexico
Autonomía y nuevos sujetos sociales en el desarrollo rural,el_autor_es_del_pais,Mexico
Marco jurídico de la pluriculturalidad en México,el_autor_es_del_pais,Mexico
Ensayos sobre la cuestión agraria y el campesinado,el_autor_es_del_pais,Mexico
Portal de letras,el_autor_es_del_pais,Mexico
"Santa Gertrudis, testimonios de una lucha campesina",el_autor_es_del_pais,Mexico
Juan Rulfo,el_autor_es_del_pais,Mexico
La Revolución Mexicana,el_autor_es_del_pais,Mexico
"Ignacio Manuel Altamirano, el soplo del genio",el_autor_es_del_pais,Mexico
La chilena guerrerense,el_autor_es_del_pais,Mexico
Historia del Estado de Guerrero,el_autor_es_del_pais,Mexico
La reforma municipal,el_autor_es_del_pais,Mexico
Reseña histórica del periodismo mexicano,el_autor_es_del_pais,Mexico
Ignacio Manuel Altamirano,el_autor_es_del_pais,Mexico
Derecho legislativo mexicano,el_autor_es_del_pais,Mexico
Juan Ignacio Maria de Castorena Ursua y Goyeneche,el_autor_es_del_pais,Mexico
La revolucio n mexicana,el_autor_es_del_pais,Mexico
"Calles, el estadista",el_autor_es_del_pais,Mexico
El maestro Ignacio Manuel Altamirano,el_autor_es_del_pais,Mexico
"El municipio, su evolución institucional",el_autor_es_del_pais,Mexico
Guerrero,el_autor_es_del_pais,Mexico
Juan Ignacio Maria de Castorena Ursúa y Goyeneche,el_autor_es_del_pais,Mexico
La oratoria en México,el_autor_es_del_pais,Mexico
La revolución de la juventud,el_autor_es_del_pais,Mexico
El pensamiento político de Ignacio Manuel Altamirano,el_autor_es_del_pais,Mexico
"De Tacubaya a Chapultepec, 1827-1945",el_autor_es_del_pais,Mexico
Gonzalo Guerrero,el_autor_es_del_pais,Mexico
El abogánster,el_autor_es_del_pais,Mexico
Hidalgo,el_autor_es_del_pais,Mexico
Pasos de sangre,el_autor_es_del_pais,Mexico
Pájaros de fuego,el_autor_es_del_pais,Mexico
Segunda persona,el_autor_es_del_pais,Mexico
"Cantolla, el aeronauta",el_autor_es_del_pais,Mexico
Amor de mis amores,el_autor_es_del_pais,Mexico
Cadáver exquisito,el_autor_es_del_pais,Mexico
Cuarto cerrado,el_autor_es_del_pais,Mexico
De cuerpo entero,el_autor_es_del_pais,Mexico
De ángeles y otras perversiones,el_autor_es_del_pais,Mexico
Desierto ardiente,el_autor_es_del_pais,Mexico
El caballero de las espadas,el_autor_es_del_pais,Mexico
El demonio me visita,el_autor_es_del_pais,Mexico
El hombre baldío,el_autor_es_del_pais,Mexico
El rumor que llegó del mar,el_autor_es_del_pais,Mexico
En el campo,el_autor_es_del_pais,Mexico
Frutas,el_autor_es_del_pais,Mexico
Isabel Moctezuma,el_autor_es_del_pais,Mexico
La cruz maya,el_autor_es_del_pais,Mexico
La Cruz Maya/ the Maya Cross,el_autor_es_del_pais,Mexico
La fascinación de la bestia,el_autor_es_del_pais,Mexico
La suerte de la fea,el_autor_es_del_pais,Mexico
"Leona Vicario, la insurgente",el_autor_es_del_pais,Mexico
"Leona Vicario, la insurgente (Personajes mexicanos)",el_autor_es_del_pais,Mexico
Los niños de colores,el_autor_es_del_pais,Mexico
Loteria Del Deseo,el_autor_es_del_pais,Mexico
Victoria,el_autor_es_del_pais,Mexico
Angeles y demonios,el_autor_es_del_pais,Mexico
Pecar como Dios manda,el_autor_es_del_pais,Mexico
Los conspiradores 2,el_autor_es_del_pais,Mexico
Crónicas de una ciudad ganada,el_autor_es_del_pais,Mexico
La novela histórica,el_autor_es_del_pais,Mexico
Ruiz Massieu,el_autor_es_del_pais,Mexico
México negro y querido,el_autor_es_del_pais,Mexico
Los sacramentos olvidados,el_autor_es_del_pais,Mexico
Ocho escritores latinoamericanos del siglo XX,el_autor_es_del_pais,Mexico
Nudo de serpientes,el_autor_es_del_pais,Mexico
El cuento en Chiapas (1913-2015),el_autor_es_del_pais,Mexico
La novela en Chiapas,el_autor_es_del_pais,Mexico
"Años de carnaval, o, Apuntes para una historia del cinismo",el_autor_es_del_pais,Mexico
Donde nace la noche,el_autor_es_del_pais,Mexico
Los abismos de la palabra,el_autor_es_del_pais,Mexico
Sk'ejimol yut yo'on xch'ulel balamil,el_autor_es_del_pais,Mexico
Entre vistas,el_autor_es_del_pais,Mexico
Tiempo a contrapunto,el_autor_es_del_pais,Mexico
Misereres y exsultates,el_autor_es_del_pais,Mexico
Principios de incertidumbre,el_autor_es_del_pais,Mexico
Los nuestros,el_autor_es_del_pais,Mexico
Yucanrol,el_autor_es_del_pais,Mexico
Escritores mexicanos en el periódico El Sol de Madrid,el_autor_es_del_pais,Mexico
Los dones del espejo,el_autor_es_del_pais,Mexico
Letras de México,el_autor_es_del_pais,Mexico
Literatura hispanoamericana,el_autor_es_del_pais,Mexico
Roberto Orozco Melo,el_autor_es_del_pais,Mexico
Uno es lo suyo,el_autor_es_del_pais,Mexico
Oscar Flores Tapia,el_autor_es_del_pais,Mexico
"Saltillo, gobierno municipal, 1900-2005",el_autor_es_del_pais,Mexico
De carne y huesos,el_autor_es_del_pais,Mexico
"Salvador Gallardo Topete, el hijo",el_autor_es_del_pais,Mexico
Premios universitarios de literatura,el_autor_es_del_pais,Mexico
Los ojos ajenos,el_autor_es_del_pais,Mexico
Cartas de Querétaro,el_autor_es_del_pais,Mexico
Coahuila,el_autor_es_del_pais,Mexico
El mundo literario de Oscar Flores Tapia,el_autor_es_del_pais,Mexico
La letra sin sangre entra,el_autor_es_del_pais,Mexico
Oscar Flores Tapia,el_autor_es_del_pais,Mexico
"Venustiano Carranza, gobernador de Coahuila",el_autor_es_del_pais,Mexico
Carranza,el_autor_es_del_pais,Mexico
Coahuilenses olvidados,el_autor_es_del_pais,Mexico
"Abuelo, cuéntame cómo era Saltillo",el_autor_es_del_pais,Mexico
Venustiano Carranza,el_autor_es_del_pais,Mexico
Melchor Múzquiz,el_autor_es_del_pais,Mexico
"¡Ay, Saltillo!, si tus calles hablaran...",el_autor_es_del_pais,Mexico
Tiempos de tormenta,el_autor_es_del_pais,Mexico
Coahuila (1910-2010),el_autor_es_del_pais,Mexico
Graduación,el_autor_es_del_pais,Mexico
Compendio de historia de la ciudad de San Luis Potosí,el_autor_es_del_pais,Mexico
Apuntes históricos de la Universidad Autónoma de San Luis Potosí,el_autor_es_del_pais,Mexico
Ramón López Velarde en San Luis Potosí,el_autor_es_del_pais,Mexico
Apuntes históricos de la Universidad Autónoma de San Luis Potosí,el_autor_es_del_pais,Mexico
José Eleuterio González,el_autor_es_del_pais,Mexico
Retablo episcopal,el_autor_es_del_pais,Mexico
Monseñor Joaquín Antonio Peñalosa Santillana,el_autor_es_del_pais,Mexico
De la Estancia de Castaño y la Hacienda de San Francisco a la ciudad de Apodaca,el_autor_es_del_pais,Mexico
José Eleuterio González,el_autor_es_del_pais,Mexico
"José Antonio Plancarte y Labastida, profeta y martir",el_autor_es_del_pais,Mexico
Alfonso Reyes ante Dios y ante la muerte,el_autor_es_del_pais,Mexico
Fray José María de Jesus Belaunzarán y Ureña,el_autor_es_del_pais,Mexico
"Fray Rafael José Verger y Suau, el obispo constructor",el_autor_es_del_pais,Mexico
La angélica Madre Genoveva,el_autor_es_del_pais,Mexico
La coronación de la milagrosa imagen del Tepeyac,el_autor_es_del_pais,Mexico
"La creación del primitivo Obispado de Linares, 1777",el_autor_es_del_pais,Mexico
La Sociedad Numismática de Monterrey,el_autor_es_del_pais,Mexico
Autodefensa espiritual de sor Juana,el_autor_es_del_pais,Mexico
Doña Iuana Ynes de Asuage ante la historia,el_autor_es_del_pais,Mexico
Don Andrés Ambrosio de Llanos y Valdés,el_autor_es_del_pais,Mexico
El diario de don José Ignacio Montes de Oca y Obregón-Ipandro Acaico,el_autor_es_del_pais,Mexico
El licenciado don Santiago Roel Melo,el_autor_es_del_pais,Mexico
"El  siervo de Dios, Jose Antonio Plancarte y Labastida",el_autor_es_del_pais,Mexico
Ipandro Acaico,el_autor_es_del_pais,Mexico
José Eleuterio Gonzalez,el_autor_es_del_pais,Mexico
La catedral del Nuevo Reino de Leon,el_autor_es_del_pais,Mexico
Mis oraciones,el_autor_es_del_pais,Mexico
Pablo Cervantes,el_autor_es_del_pais,Mexico
Ventana del alma,el_autor_es_del_pais,Mexico
Fray Antonio de Jesús Sacedón,el_autor_es_del_pais,Mexico
La Virgen Chiquita,el_autor_es_del_pais,Mexico
"Don Guillermo Tritschler y Córdova, siervo de Dios, sexto Obispo de San Luis Potosí, séptimo Arzobispo de Monterrey",el_autor_es_del_pais,Mexico
Novena en honor de Nuestra Señora de Guadalupe,el_autor_es_del_pais,Mexico
Emiliano Pérez Cruz,el_autor_es_del_pais,Mexico
Señas Particulares,el_autor_es_del_pais,Mexico
Arte de Nezahualcóyotl,el_autor_es_del_pais,Mexico
Mujeres de oriente,el_autor_es_del_pais,Mexico
Malagato para morir iguales,el_autor_es_del_pais,Mexico
Con la rienda suelta,el_autor_es_del_pais,Mexico
Desde que Dios amanece,el_autor_es_del_pais,Mexico
Domingo es buen día para morir,el_autor_es_del_pais,Mexico
Joaquín Pardavé,el_autor_es_del_pais,Mexico
Malagato,el_autor_es_del_pais,Mexico
Para morir iguales,el_autor_es_del_pais,Mexico
Roberto Ruiz,el_autor_es_del_pais,Mexico
Roberto Ruiz: Maravilla Del Mundo/Roberto Ruiz,el_autor_es_del_pais,Mexico
Virgen de medianoche,el_autor_es_del_pais,Mexico
Piel bandida,el_autor_es_del_pais,Mexico
De otro modo el hombre,el_autor_es_del_pais,Mexico
Vigencia de la Constitución de 1917,el_autor_es_del_pais,Mexico
El Municipio y el desarrollo rural integral,el_autor_es_del_pais,Mexico
Constituciones Políticas de Los Estados de la República Mexicana; Volume 1,el_autor_es_del_pais,Mexico
Encuesta sobre migración,el_autor_es_del_pais,Mexico
Colección Enciclopedia de los municipios de México,el_autor_es_del_pais,Mexico
Escritores en la diplomacia mexicana,el_autor_es_del_pais,Mexico
El Municipio y el agua,el_autor_es_del_pais,Mexico
Archivos,el_autor_es_del_pais,Mexico
Los nuevos retos de la gobernabilidad democrática,el_autor_es_del_pais,Mexico
La Secretaría de Gobernación,el_autor_es_del_pais,Mexico
Valores para una cultura de le legalidad,el_autor_es_del_pais,Mexico
Constituciones Políticas de Los Estados de la República Mexicana; Volume 2,el_autor_es_del_pais,Mexico
Constituciones políticas de los estados de la República mexicana,el_autor_es_del_pais,Mexico
Crónica oficial de las fiestas del primer centenario de la independencia de México,el_autor_es_del_pais,Mexico
"Entrevista de los Presidentes de México y los Estados Unidos de América en la Ciudad de México, junio-julio, 1962. Meeting of the Presidents of Mexico and the United States of American in Mexico City, June-July, 1962",el_autor_es_del_pais,Mexico
Instrucciones para eligir presidente y vicepresidente de la república,el_autor_es_del_pais,Mexico
Memoria de la Secretaría de Gobernación,el_autor_es_del_pais,Mexico
Secretaría de Gobernación,el_autor_es_del_pais,Mexico
Seis años de actividad nacional,el_autor_es_del_pais,Mexico
"Encuesta sobre migración en la Frontera Norte de México, 2011",el_autor_es_del_pais,Mexico
Memoria que presenta al Congreso de la unión el general Manuel González Cosío,el_autor_es_del_pais,Mexico
Reglamento para el regimen interior de la Secretaría de estado y del despacho de gobernación,el_autor_es_del_pais,Mexico
"Entrevista de los Presidentes de México y los Estados Unidos de America en la Ciudad de México, junio-julio, 1962",el_autor_es_del_pais,Mexico
Monumento á la Independencia,el_autor_es_del_pais,Mexico
Memoria que comprende el período del 1⁰. de agosto de 1929 al 31 de julio de 1930,el_autor_es_del_pais,Mexico
Bases jurídicas del municipio mexicano,el_autor_es_del_pais,Mexico
1789-1989 bicentenario de la declaración de los derechos del hombre y del ciudadano,el_autor_es_del_pais,Mexico
Archivos tropicales,el_autor_es_del_pais,Mexico
La Vida colonial,el_autor_es_del_pais,Mexico
Los Municipios de Chiapas,el_autor_es_del_pais,Mexico
"Reglamento de andamios para construcción, reparación o pintura de edificios",el_autor_es_del_pais,Mexico
Los Municipios de Nayarit,el_autor_es_del_pais,Mexico
Los Municipios de Nuevo León,el_autor_es_del_pais,Mexico
Los Municipios de Puebla,el_autor_es_del_pais,Mexico
Los Municipios de Querétaro,el_autor_es_del_pais,Mexico
Los Municipios de San Luis Potosí,el_autor_es_del_pais,Mexico
Los Municipios de Sinaloa,el_autor_es_del_pais,Mexico
Los municipios de Tamaulipas,el_autor_es_del_pais,Mexico
Los Municipios de Tlaxcala,el_autor_es_del_pais,Mexico
Los Municipios de Veracruz,el_autor_es_del_pais,Mexico
Los Municipios de Yucatán,el_autor_es_del_pais,Mexico
Los Municipios de Guerrero,el_autor_es_del_pais,Mexico
Los Municipios de Baja California,el_autor_es_del_pais,Mexico
Los Municipios de Chihuahua,el_autor_es_del_pais,Mexico
Los Municipios de Coahuila,el_autor_es_del_pais,Mexico
Los Municipios de Colima,el_autor_es_del_pais,Mexico
Los Municipios del Estado de México,el_autor_es_del_pais,Mexico
Los Municipios de Guanajuato,el_autor_es_del_pais,Mexico
