Obra,Relación,Editorial
Ironías para Las Conciencias,fue_publicado_por,CreateSpace Independent Publishing Platform
Don Quijote,fue_publicado_por,Instituto Nacional de Bellas Artes
Antologia Poetica (Intemporales),fue_publicado_por,Libros Sin Fronteras
De la maravillosa historia de nuestra tierra,fue_publicado_por,"Gente Nueva, Instituto del Libro"
Había una voz,fue_publicado_por,Universidad Veracruzana
Temas cívicos,fue_publicado_por,"Centro Editorial ""José de Pineda Ibarra,"""
Cuentos romanticos,fue_publicado_por,Editorial Porrua
Amistad funesta,fue_publicado_por,Echo Library
Sándalo en la celda,fue_publicado_por,Editorial Betances
Cantiga de agüero,fue_publicado_por,Destino
Otoño Del Patriarca,fue_publicado_por,Editorial Oveja Negra
Esteban Sargazo,fue_publicado_por,CreateSpace Independent Publishing Platform
Tres modos de vivir,fue_publicado_por,Casa Del Libro
Isla para los niños,fue_publicado_por,Instituto de Cultura Puertorriqueña]
La imprenta de San Eloy,fue_publicado_por,"Diputación de Sevilla, Área de Cultura y Ecología"
Noticias del Imperio,fue_publicado_por,Mondadori
Narradores bajacalifornianos del siglo XX,fue_publicado_por,Fondo Editorial de Baja California
Somoza,fue_publicado_por,Editorial El Gato Negro
El flamboyán amarillo,fue_publicado_por,Ediciones Huracán
Cuentos y relatos,fue_publicado_por,Ediciones La Gota de Agua
El artículo 18 constitucional,fue_publicado_por,U[niversidad] N[acional] A[utónoma de] M[exico] Coordinación de Humanidades
Irse volviendo otro,fue_publicado_por,Iduna
Los jardines insistentemente repetidos,fue_publicado_por,Tipografía Nacional
"Planos de la ciudad de México, siglos XVI y XVII",fue_publicado_por,Universidad Nacional Autónoma de México
Poesía,fue_publicado_por,Ediciones Catedra S.A.
Wings in the Wild (Spanish Edition),fue_publicado_por,Simon & Schuster Children's Publishing
Poems,fue_publicado_por,Editorial Andrés Bello
Amador: Esculturas : 2 de agosto/1 setiembre 1991,fue_publicado_por,"Principado de Asturias, Consejeria de Educacion, Cultura, Deportes y Juventud"
Viajero del asombro,fue_publicado_por,Gobierno del Estado de Quintana Roo
La isla de las navajas,fue_publicado_por,Fondo de Cultura Económica
Rufino Tamayo,fue_publicado_por,Fundación Olga y Rufino Tamayo
Discursos de bellas artes,fue_publicado_por,"Instituto Nacional de Bellas Artes, Departamento de Literatura"
Los tarahumaras: pueblo de estrellas y barrancas,fue_publicado_por,"Gobierno del Estado, Secretaría de Educación, Cultura y Deporte"
Nuevo León a través de sus municipios,fue_publicado_por,Milenio
"Licenciado Torri, abogado desencantado",fue_publicado_por,"Universidad Autónoma de Coahuila,="
El nacionalismo argentino,fue_publicado_por,Ediciones La Bastilla
Para la Navidad del 86,fue_publicado_por,Instituto Mexicano de Cultura
Noriega y la decapitación de Hugo Spadafora,fue_publicado_por,G.S. Borbón
Arte de Nezahualcóyotl,fue_publicado_por,Editorial Colibrí
Poemas rústicos,fue_publicado_por,Anguilar Vera y Comp.
"""Estoy cargado de tigre""",fue_publicado_por,Brand: Circulo de Lectores
Dama Religiosa del Jardín,fue_publicado_por,CreateSpace Independent Publishing Platform
Oficio de caníbales,fue_publicado_por,Ediciones 18 Conejo
Rubén Martínez Villena,fue_publicado_por,Ediciones sociales
Escrito en las puertas,fue_publicado_por,UNEAC
El acheré y los chekeré,fue_publicado_por,Editorial Letras Cubanas
Guerra En El Paraiso,fue_publicado_por,Planeta Editorial S A
Imaginaciones,fue_publicado_por,Editorial Jus
La hora 0 [i.e. cero],fue_publicado_por,Aquí Poesía
Invitación a la lectura,fue_publicado_por,Editora Taller
Otras vidas ..,fue_publicado_por,"J. Ballescá y c.a, sucesores"
Bibliografía de José Lezama Lima,fue_publicado_por,Editorial Arte y Literatura
El regimen de libre comercio en Centroamérica,fue_publicado_por,Editorial Universitaria Centroamericana
Pedro Angel Castellón,fue_publicado_por,Imp. Avisador comercial
Salvador Cisneros Betancourt,fue_publicado_por,Editorial de Ciencias Sociales
Declamación cristiana,fue_publicado_por,Impr. de Arizpe
"Arde, memoria",fue_publicado_por,Tusquets Editores México
Conversación a la intemperie,fue_publicado_por,GALAXIA
Diarios de Motocicleta,fue_publicado_por,Seven Stories Press
"Sor Juana Inés de la Cruz, o, Las trampas de la fe",fue_publicado_por,Seix Barral
"""Euridice",fue_publicado_por,Editorial Santo Domingo
Relato de un náufrago,fue_publicado_por,Warszawskie Wydawnictwo Literackie MUZA
Introdvction del symbolo de la fè..,fue_publicado_por,G.Garrich
Pueblo en sombras,fue_publicado_por,Editorial V Siglos
Mi Libro de Tapa Blanda,fue_publicado_por,"Lulu Press, Inc."
Obras Reunidas Rosario Castellanos (Obras Reunidas),fue_publicado_por,Fondo de Cultura Economica USA
La santa,fue_publicado_por,Fondo de Cultura Económica
El suicida,fue_publicado_por,Tezontle
La censura literaria en el Index de Quiroga (1583-1584),fue_publicado_por,Universidad de Alcalá
A través de mi espejo,fue_publicado_por,Ediciones Unión
Así fue la vida de Romana Padrón,fue_publicado_por,Not Avail
Lectores insurgentes,fue_publicado_por,Fondo Editorial Casa de las Américas
Conquistas e instituciones de gobierno en Colima de la Nueva España (1523-1600),fue_publicado_por,Colegio de Michoacán
Un camino de medio siglo,fue_publicado_por,"Biblioteca Nacional José Martí, Consejo Nacional de Cultura"
IV Jornadas sobre ordenación del territorio,fue_publicado_por,Collegi Oficial d'Arquitectes Illes Balears
Poeta de amorosa raíz,fue_publicado_por,Ediciones del Ermitaño
Un desorden de sábanas y almohadas,fue_publicado_por,Ediciones Matanzas
Archivos tropicales,fue_publicado_por,Secretaría de Gobernación
Vaso espiritual,fue_publicado_por,[s.n.]
El diario que a diario,fue_publicado_por,Letras Cubanas
Andersen y Kierkegaard,fue_publicado_por,Ediciones Extramuros
Crónicas romanas,fue_publicado_por,Editorial Diana
"Asunto de familia, o, Breve listado de algunas obsesiones",fue_publicado_por,Instituto Sinaloense de Cultura
Oda al nuevo mundo,fue_publicado_por,Editorial Santuario
Los días olvidados por Pérez Jiménez y sus seguidores,fue_publicado_por,EDICIONES CENTAURO
Las canciones populares y la tonalidad medieval,fue_publicado_por,Impr. del Real monasterio de el Escorial
Ley orgánica de los tribunales del fuero común del Distrito y territorios federales,fue_publicado_por,Talleres gráficos de la nación
Etnia y sociedad,fue_publicado_por,Editorial de Ciencias Sociales
Isla de Dos Mundos I,fue_publicado_por,Independently Published
Imitation of Christ,fue_publicado_por,Elliot Stock
Arbol de la vida,fue_publicado_por,Siglo Veintiuno Editores
Un radical problema guadalupano,fue_publicado_por,[Academia mejicana de Nuestra Señora de Guadalupe
Martí,fue_publicado_por,Ediciones Oasis
Sigue mirando el fuego,fue_publicado_por,Gobierno del Estado de Nuevo León
Ideas y creencias,fue_publicado_por,"Espasa-Calpe argentina, s. a."
Huertas de Colima,fue_publicado_por,"Archivo de Letras, Artes, Ciencias y Tecnología"
Sentimiento de culpa,fue_publicado_por,Plaza Janés
Clamor Desde el Sahara Occidental,fue_publicado_por,CreateSpace Independent Publishing Platform
Dolor,fue_publicado_por,Ediciones Torremozas
En las entrañas del monstruo,fue_publicado_por,Editorial de Ciencias Sociales
Estudios sobre la novela mexicana,fue_publicado_por,Universidad de Colima
Mientras la patria exista,fue_publicado_por,Edaf
Historia de la ciudad de México según los relatos de sus cronistas,fue_publicado_por,P. Robredo
La raza cósmica,fue_publicado_por,Coleccion Austral Mexicana
Escritores místicos españoles,fue_publicado_por,Océano Grupo Editorial
Entre el ángel y el fierro,fue_publicado_por,Fondo de Económica
Pentagonismo sustituto del imperialismo,fue_publicado_por,Guadiana de Publicaciones
Madriz (monografía),fue_publicado_por,s.n.]
Una etapa decisiva de Darío,fue_publicado_por,Gredos
Plumas estelares en las letras de Puerto Rico,fue_publicado_por,"Ediciones de la Torre, Universidad de Puerto Rico"
El sótano,fue_publicado_por,Latitudes
Cuentos De Enredos Y Travesuras,fue_publicado_por,Centro De Informacion Y Desarollo
La otra cara de la luna,fue_publicado_por,"Universidad de los Andes, Facultad de Ciencias Sociales, Departamento de Historia"
Relato de un náufrago,fue_publicado_por,Cape
Los orígenes del Movimiento 14 de Junio,fue_publicado_por,Editora Universitaria
Figuraciones En El Mes De Marzo,fue_publicado_por,La Editorial Universidad de Puerto Rico
Anywhere in the south,fue_publicado_por,DGE Equilibrista
In the cow's backyard,fue_publicado_por,Santillana USA Publishing Company
Tres opúsculos sobre la Universidad de Morelos,fue_publicado_por,H. Vega Flores
Ideas sobre el teatro y la novela,fue_publicado_por,Rèvista de Occidente en Alianza Editorial
Una aproximación a la nueva narrativa en Canarias,fue_publicado_por,Aula de Cultura de Tenerife
Breve historia de México,fue_publicado_por,Botas
Sin contemplaciones,fue_publicado_por,Ediciones Libertarias
Gypsy ballads,fue_publicado_por,Indiana University Press
Teatro breve nuevo leonés,fue_publicado_por,Universidad Autónoma de Nuevo Léon
La vida literaria en Cuba (1836-1840),fue_publicado_por,[Cárdenas y cía]
Los Signos en rotación y otros ensayos,fue_publicado_por,Alianza Editorial
Els viatges d'Ali Bei,fue_publicado_por,De l'imprimerie de P. Didot l'aîné
Pensamiento educativo de Jaime Torres Bodet,fue_publicado_por,Ediciones El Caballito
Octavio Paz,fue_publicado_por,Dastin Export S.L.
Narrar la nación,fue_publicado_por,Editorial Letras Cubanas
"Critica de los planes de educacion de la ""IU"" y el ARPA",fue_publicado_por,Realidad Nacional
El signo y la alambrada,fue_publicado_por,Entrelíneas
Utopías mexicanas,fue_publicado_por,Fondo de Cultura Económica
Nocturnos y nostalgias,fue_publicado_por,Fondo de Cultura Económica
Narrativa boliviana del siglo XX,fue_publicado_por,Editorial Los Amigos del Libro
Instituciones de Justiniano,fue_publicado_por,"Universidad de Madrid, Facultad de Derecho, Sección de Publicaciones e Intercambio"
Ignacio Manuel Altamirano,fue_publicado_por,Instituto Guerrerense de la Cultura
Libro de estampas,fue_publicado_por,Editorial Patria
Centenario de la guerra hispano-cubana norteamericana,fue_publicado_por,"Casa de la Cultura Ecuatoriana ""Benjamín Carrión"""
El pasado me condena,fue_publicado_por,Ayuntamiento de Mérida
Obras poéticas completas,fue_publicado_por,Aguilar
La guerra de intervención en dos libros,fue_publicado_por,"Sociedad Mexicana de Geografía y Estadistíca, Sección de Historia"
Extravíos y maravillas,fue_publicado_por,Seminario de Cultura Mexicana
Viajar es muy difícil,fue_publicado_por,Bruguera
Bibliografía del estado de Campeche,fue_publicado_por,Gobierno constitucional del estado de Campeche
La Habana colonial,fue_publicado_por,Editorial José Martí
Historia y folklore de San Cristóbal,fue_publicado_por,Asodolibro
Meditación de la técnica,fue_publicado_por,Santillana
Conjeturas,fue_publicado_por,Úcar García
El coronel no tiene quien le escriba,fue_publicado_por,French & European Publications Inc
The preacher's portrait,fue_publicado_por,Wm. B. Eerdmans Publishing Company
Historia del béisbol de Yucatán y Campeche en 1905 año de oro,fue_publicado_por,Ediciones de la Universidad Autónoma de Yucatán
Biografía del presbítero don Francisco Antonio Márquez,fue_publicado_por,Editorial Universitaria
Periquillo Sarniento (tomo 3),fue_publicado_por,CreateSpace Independent Publishing Platform
Agua arriba,fue_publicado_por,Ed. Alemana
Cuba para principiantes,fue_publicado_por,Writers and Readers Publishng Cooperative
Martí y el socialismo de Cuba,fue_publicado_por,Editorial Dos Rios
Imagenes de Chile,fue_publicado_por,Editorial Nascimento
Cooperación interamericana,fue_publicado_por,[Agencia editora mexicana]
Cuentos y cuaresmas del duque Job,fue_publicado_por,Porrua
Ponencias de la Semana Internacional en Homenaje a Pedro Henríquez Ureña en el Cincuentenario de su Muerte 1946-1996,fue_publicado_por,"Secretaría de Estado de Educación, Bellas Artes y Cultos de la República Dominicana"
En el desorden de nuestros versos,fue_publicado_por,Publisher not identified
El arquero divino,fue_publicado_por,Espasa-Calpe
Return ticket,fue_publicado_por,Editorial Cultura
La Migración centroamericana y la situación de los salvadereños desplazados y refugiados,fue_publicado_por,Centro de Investigación y Acción Social
La sombra de los rostros,fue_publicado_por,Editorial Salesiana
El lugar de Sender,fue_publicado_por,"Instituto de Estudios Altoaragoneses, Diputación de Huesca"
Nueva Visita al Cuarto Piso,fue_publicado_por,S.B.P.
Amables figuras del pasado,fue_publicado_por,Editorial Letras Cubanas
"Tres caudillos, tres destinos, 1919-1932",fue_publicado_por,"Erandique, Colección"
Lezama Lima,fue_publicado_por,Taurus
Verdad Del Futuro Tomo I,fue_publicado_por,Independently Published
España invertebrada,fue_publicado_por,Espasa-Calpe SA
Lo demás es silencio,fue_publicado_por,Editorial Seix Barral
Páginas en prosa,fue_publicado_por,Kapelusz
Del ensayo americano,fue_publicado_por,Fondo de cultura económica
Vitae Mahometi.,fue_publicado_por,Editorial Universidad de Sevilla-Secretariado de Publicaciones
"Estética, sensibilidades y emociones",fue_publicado_por,"FAHCE, Facultad de Humanidades y Ciencias de la Educación, Universidad Nacional de La Plata"
Indice universal de la obra de José Martí,fue_publicado_por,Eliseo Torres
Cocuyo,fue_publicado_por,Tusquets
Relato de un náufrago,fue_publicado_por,Mondadori
Noticia de un secuestro,fue_publicado_por,Vintage Español
Hostage Bride,fue_publicado_por,Bantam Dell Pub Group
Los Secretos de Kafka y Otras Infidencias,fue_publicado_por,CreateSpace Independent Publishing Platform
La Muerte Se Va a Granada,fue_publicado_por,"Aguilar, Altea, Taurus, Alfaguara, S.A. de C.V."
Con estas manos digo,fue_publicado_por,Universidad Autónoma de Coahuila
La Guerra Civil en Huelva,fue_publicado_por,Unknown Publisher
Helarte de la errata,fue_publicado_por,Editorial Praxis
Discursos de Ignacio M. Altamirano,fue_publicado_por,Ediciones Beneficencia Pública
La agonía del pez volador,fue_publicado_por,Unión de Escritores y Artistas de Cuba
La suplencia de la deficiencia de la queja,fue_publicado_por,"""La Nacional impresora,"" s.a."
El trabajo a domicilio,fue_publicado_por,Imp. El Imparcial
"Crisis, cambio, tradición",fue_publicado_por,[Ediciones EDIME
Rosa L.,fue_publicado_por,Aschehoug
Una broma colosal,fue_publicado_por,Unión de Escritores y Artistas de Cuba
Gvia de peccadores,fue_publicado_por,En casa de Christophoro Plantino Prototypographo de la Magestad Real
Briefe an einen jungen Dichter,fue_publicado_por,Longseller
Anago (Colección Del Chichereku En El Exilio),fue_publicado_por,Ediciones C.R.
Ojos de perro azul,fue_publicado_por,French & European Pubns
Más imágenes de luz,fue_publicado_por,Universidad Autónoma del Estado de México
Turkey for Thanksgiving Dinner? No Thanks! (Stories the Year 'round),fue_publicado_por,Santillana USA Publishing Company
Levántate y Anda,fue_publicado_por,Independently Published
Cuerpo contra cuerpo,fue_publicado_por,"Universidad Autónoma Metropolitana, Unidad Cuajimalpa"
Gringo viejo,fue_publicado_por,Alfaguara
Paisajes y leyendas,fue_publicado_por,Imprenta y Litografia Española
Para una teoria de la literatura hispanoamericana y otras aproximaciones,fue_publicado_por,Casa de las Americas
Crónicas,fue_publicado_por,Editorial Letras Cubanas
"Vida, pasión y muerte de Federico Garcia Lorca 1898-1936",fue_publicado_por,Schoenhofsforeign Books Inc
Al pie de la letra,fue_publicado_por,Fondo De Cultura Economica USA
Entre la violencia y la invisibilidad,fue_publicado_por,"Gobierno Nacional de la República del Ecuador, Secretaría Nacional del Migrante (SENAMI)"
El pez volador,fue_publicado_por,Casa de la Poesía
Clandestine Poems,fue_publicado_por,s.n.
Encuentro Regional de Escritores en Lenguas Indígenas,fue_publicado_por,Escritores en Lenguas Indígenas
La Eternidad Por Fin Comienza Un Lunes/eternity Finally Begins on Monday,fue_publicado_por,"Aguilar, Altea, Taurus, Alfaguara, S.A. de C."
Apuntes para la historia de la vivienda obrera en México,fue_publicado_por,Instituto Nacional de Bellas Artes
Un paseo por el paraíso,fue_publicado_por,Plaza y Valdés
Don Pepe,fue_publicado_por,"Editorial ""Alfa,"""
Ignacio Manuel Altamirano,fue_publicado_por,Gobierno Constitucional del Estado de Guerrero
Coahuila,fue_publicado_por,SIDERMEX
The Mexican cinema,fue_publicado_por,University of New Mexico Press
Música de cámara,fue_publicado_por,Distribuido por Vitral
"Pasionarias, poesías",fue_publicado_por,Garnier
Poemas mágicos y dolientes,fue_publicado_por,"""Revista de Archivos"""
Die Weise von Liebe und Tod des Cornets Christoph Rilke,fue_publicado_por,Insel-verlag
Señora Vaca,fue_publicado_por,CreateSpace Independent Publishing Platform
Ensayos (selección),fue_publicado_por,Taller
"Miramón, el hombre",fue_publicado_por,J. Mortiz
El arco y la lira,fue_publicado_por,Fondo de cultura económica
Memorias,fue_publicado_por,Instituto Politécnico Nacional
Diarios de Motocicleta,fue_publicado_por,Kiepenheuer und Witsch
Gran Negocio,fue_publicado_por,Independently Published
El joven aquel--,fue_publicado_por,Océano
Pablo Neruda en el corazón de México,fue_publicado_por,Publicaciones y Fomento Editorial
Las renegadas,fue_publicado_por,Lumen
Mujeres en un acto,fue_publicado_por,Editorial Posada
Todo el tiempo del mundo,fue_publicado_por,Letra Negra Editores
Hispanoamérica y su expresión literaria,fue_publicado_por,Editorial Universitaria de Buenos Aires
Las aventuras de Euforión,fue_publicado_por,"Coedición, Editorial Diana"
Cien años de soledad,fue_publicado_por,Diana
"La aventura de Miguel Littín, clandestino en Chile",fue_publicado_por,Livre de Poche
Antologia Poetica De Ruben Dario,fue_publicado_por,Errepar
Regionalismo literario,fue_publicado_por,Biblioteca Digital de la Universidad Nacional de Cuyo
Las Insulas Extranas / The Strange Isles,fue_publicado_por,Trotta
Derecho del trabajo,fue_publicado_por,Editorial Astrea de Alfredo y Ricardo Depalma
Mes de Jesus sacramentado,fue_publicado_por,Tipografia del Rosario
En esta nuestra tierra (un canto para la paz),fue_publicado_por,Union
"Cuentos contemporaneos, recopilación, prólogo y notas",fue_publicado_por,Editorial Trópico
La reforma dizque heducativa,fue_publicado_por,Grijalbo Mondadori
"Zacatecas y Guadalupe, catálogo de tesis de instituciones públicas de educación media superior y superior",fue_publicado_por,Universidad Autónoma de Zacatecas
Versos sencillos,fue_publicado_por,Ediciones Acana
"Vasconcelos, el hombre multifacético",fue_publicado_por,Senado de la República
"El rapto de Europa, o Siempre se puede hacer algo",fue_publicado_por,Tezontle
Raúl Renán,fue_publicado_por,Fondo Editorial Cantera Verde
La agresión italo-alemana contra España,fue_publicado_por,"""Coopérative Étoile"""
Bonafoux y su época,fue_publicado_por,S. Girón
The pampas and Andes,fue_publicado_por,"Creative Media Partners, LLC"
Crack,fue_publicado_por,Mondadori
La gratitud humana,fue_publicado_por,Mnemosyne
La Neblina del Ayer,fue_publicado_por,TusQuets
Del amor y otros demonios,fue_publicado_por,Quality Paperbacks Direct
Bosquejo historiográfico de la masonería en Durango,fue_publicado_por,Instituto de Cultura del Estado de Durango
Una matriz de contabilidad social para Chile 1977,fue_publicado_por,"Organización Internacional del Trabajo, Programa Mundial del Empleo, Programa Regional del Empleo para América Latina y el Caribe, PREALC"
Poesía panameña contemporánea (1929-1981),fue_publicado_por,Editorial Penélope
La casa de la playa,fue_publicado_por,"Sedmay Ediciones : [distribuidora, Maydi"
La vida no acaba en marzo,fue_publicado_por,Grupo Editorial 7
Lucian Freud,fue_publicado_por,Marlborough Fine Art (London) Ltd
De cómo fueron los quince de Eugenia de Pardo y Pardo,fue_publicado_por,Editorial Letras Cubanas
Diecisiete de Septiembre,fue_publicado_por,Independently Published
Antología poética,fue_publicado_por,Editorial Losada
Memorias y andanzas de un matagalpa,fue_publicado_por,PAVSA
Magisterio y niño,fue_publicado_por,Editorial Andres Bello
Anti-eurocomunismo,fue_publicado_por,C. Llorens Castillo
Las intensidades corrosivas,fue_publicado_por,"Gobierno del Estado de Tabasco, ICT Ediciones"
Morir de Amor,fue_publicado_por,Independently Published
La patria de la luz,fue_publicado_por,Ediciones Santiago
Algunos lugares de la pintura,fue_publicado_por,eutelequia
"El amor, el dolor y la espiritualidad en la obra de Ethel Krauze",fue_publicado_por,Ediciones EÓN
La vida misma,fue_publicado_por,Jucar
"Poesía y el estudio ""Aguas de Carlos Pellicer"" de José Prats Sariol",fue_publicado_por,Casa de las Américas
3ds Max 7 (Manuales Imprescindibles / Essenatial Manuals),fue_publicado_por,Anaya Multimedia
Joseph Cornell,fue_publicado_por,James Corcoran Gallery
El mundo maya,fue_publicado_por,Inverlat
Poesías de Manuel Gutiérrez Nájera,fue_publicado_por,Vda de C. Bouret
El erotismo y la muerte,fue_publicado_por,Océano
"Ernesto, el domador de sueños",fue_publicado_por,Ediciones SM
Antología cósmica lírica de Carlos Chacón Zaldívar,fue_publicado_por,Frente de Afirmación Hispanista
Amables figuras del pasado,fue_publicado_por,Editorial José Martí
El Divino Narciso/ the Divine Narcissus,fue_publicado_por,Fondo de Cultura Economica USA
Amada InmÓvil,fue_publicado_por,Independently Published
Naturaleza muerta,fue_publicado_por,Editora de Colores
Rufino Tamayo en las colecciones del INBA,fue_publicado_por,Consejo Nacional para la Cultura y las Artes
Orgullo Prieto,fue_publicado_por,Penguin Random House Grupo Editorial
Sombra de la sombra,fue_publicado_por,Ediciones Roca
El país de las mandrágoras,fue_publicado_por,Alfaguara
El Angel Caido y Otros Textos (Grandes Para los Chicos),fue_publicado_por,Ediciones Colihue
El 98 y su impacto en Latinoamérica,fue_publicado_por,Instituto Panamericano de Geografía e Historia
La Cuestion Juvenil en Costa Rica,fue_publicado_por,Flasco
La hermana secreta de Angélica María,fue_publicado_por,Cal y Arena
Lo Que Todos Debemos Saber,fue_publicado_por,CreateSpace Independent Publishing Platform
La expresión americana,fue_publicado_por,Editorial Verbum
Conquistas e instituciones de gobierno en Colima de la Nueva España (1523-1600),fue_publicado_por,Archivo Histórico del Municipio de Colima
Confinad+s,fue_publicado_por,Brumaria
Die weiße Rose,fue_publicado_por,"Chicago Review Press, Incorporated"
Antologia,fue_publicado_por,Anaya
La oveja negra y demás fábulas,fue_publicado_por,Жанет 45
Qué pasa con el teatro en México?,fue_publicado_por,La Pajarita de Papel
Animal de dos semblantes,fue_publicado_por,LOM Ediciones
Historia de Colombia,fue_publicado_por,Editorial Norma
No es como usted dice,fue_publicado_por,J. Mortiz
Las aventuras perdidas,fue_publicado_por,Altamar
Memorias de una cubanita que nacio  con el siglo,fue_publicado_por,Instituto del Libro
La sombra de La Habana,fue_publicado_por,Ediciones del Bronce
La ley del padre,fue_publicado_por,Fondo de Cultura Económica
Condición de las flores,fue_publicado_por,Editorial Entropía
"Correspondencia de don Victoriano Salado Alvarez, 1894-1931",fue_publicado_por,"Gobierno del Estudio de Jalisco, Secretaría General de Gobierno, Unidad Editorial"
Guía Rápida para Hablar en Público,fue_publicado_por,Independently Published
El niño Guy--Ermilo Abreu Gómez,fue_publicado_por,s.n.
Juan Bosch en Cuba,fue_publicado_por,"Fundación Global Democracia y Desarrollo, FUNGLODE"
Prosistas modernos,fue_publicado_por,Instituto-Escuela
El Medio Pollito,fue_publicado_por,Santillana USA Publishing Company
Interprétation et surinterpretation,fue_publicado_por,"Ediciones Akal, S.A."
Tala,fue_publicado_por,Losada
El tema de nuestro tiempo,fue_publicado_por,Revista de Occidente
El asalto,fue_publicado_por,Cdiciones Universal
Aspasia de Mileto,fue_publicado_por,Anthropos
A orillas del Hudson,fue_publicado_por,Botas
Epístolas sobre la vejez,fue_publicado_por,ENORME
Páginas de lumbre de Miguel Angel Asturias,fue_publicado_por,Editorial Cultura
Nahui Olin,fue_publicado_por,Editorial Gedisa
Cambula y la bandera de Yara,fue_publicado_por,Editorial Dos Ríos
Días del futuro pasado,fue_publicado_por,"Universidad Autónoma de Nuevo León, Facultad de Filosofía y Letras"
Entrevistas con quince autoras mexicanas,fue_publicado_por,Iberoamericana Editorial Vervuert
De Sayula al Olimpo,fue_publicado_por,Wissenschaflicher Verlag
Los diablos del petróleo,fue_publicado_por,"Editorial ""Nuestra América"""
Anaite,fue_publicado_por,Editorial El Libro de Guatemala
Memoria,fue_publicado_por,Gobierno de Nuevo León
"José Lezama Lima, poet of the image",fue_publicado_por,Huerga & Fierro Editores
Me muero de sin usted,fue_publicado_por,El Colegio de Sinaloa
La miseria de Madrid,fue_publicado_por,Llibros Del Pexe
Casa de La Laguna (House on the Lagoon),fue_publicado_por,Turtleback Books Distributed by Demco Media
Introspeccion hispanica ...,fue_publicado_por,"C.A., Ateneo de El Salvador"
El cerco,fue_publicado_por,Fundación Max Aub
Historia de México : la conquista,fue_publicado_por,[s.n.]
Los Evangelios apócrifos,fue_publicado_por,Casa editorial Garnier hermanos
En el espejo de la mirada,fue_publicado_por,Imprenta D. M.
Antología poética,fue_publicado_por,Editorial Letras Cubanas
"Thomas Merton - Ernesto Cardenal Correspondencia, 1959-1968",fue_publicado_por,Trotta
Colores en el mar,fue_publicado_por,Ediciones del Equilibrista
Jugo del ojo o del animal enfermo,fue_publicado_por,[Ediciones Superiores]
Ciencia y medicina,fue_publicado_por,Editorial Científico-Técnica
Ensayos históricos,fue_publicado_por,Universidad Nacional Autónoma de México
Los retos de la universidad de hoy,fue_publicado_por,Editorial Universitaria
"Arcaismos, regionalismos y modismos de Comitan, Chiapas",fue_publicado_por,Universidad Nacional Autónoma de Chiapas
Miradas a la literatura latinoamericana,fue_publicado_por,"Universidad Autónoma de Yucatán, Facultad de Ciencias Antropológicas"
Pedro V. Rodríguez Triana,fue_publicado_por,Coordinación Nacional de Descentralización
Understanding the Bible,fue_publicado_por,Ediciones Certeza
Nicaragua,fue_publicado_por,Ediciones Lena
La vida de México en 1810,fue_publicado_por,Vda. de C. Bouret
Diablo guardián,fue_publicado_por,"Suma de letras, Punto de lectura"
Teresa Delgado,fue_publicado_por,[s.n.]
La mar de utopías,fue_publicado_por,"Instituto de Cooperación Iberoamericana, Ediciones de Cultura Hispánica"
Leyendas cubanas,fue_publicado_por,Editorial Arte y Literatura
Tengo palabras (1965-1970),fue_publicado_por,Editoras Unidas del Caribe
Pisa y corre,fue_publicado_por,Alfaguara
Verano que no termina,fue_publicado_por,Universidad Veracruzana
Apuntes para la historia del movimiento obrero puertorriqueño,fue_publicado_por,Editorial Cultural
El otro diluvio,fue_publicado_por,I[nstituto N[acional de la] J[uventud] M[exicana
"Apuntaciones históricas y literarias del municipio de Hopelchén, Campeche",fue_publicado_por,Programa Cultural de las Fronteras
EMMANUEL el Mesías Por Todos Esperado,fue_publicado_por,Independently Published
La nueva poesía,fue_publicado_por,El Nacional
Antología poética (1898-1953),fue_publicado_por,Editorial Biblioteca Nueva
Grano de sal,fue_publicado_por,Planeta
Literatura y sociedad en la narrativa de Manuel Gálvez,fue_publicado_por,Editoria Peña Lillo
El fracaso de la educación en México,fue_publicado_por,Editorial Posada
Oficio de Tinieblas,fue_publicado_por,Tandem Library
Serenidad,fue_publicado_por,Espasa-Calpe
Tengo,fue_publicado_por,Broadside Press
Doce cuentos peregrinos,fue_publicado_por,FISCHER Taschenbuch
Il Combattimento Spirituale,fue_publicado_por,Librería Religiosa
Himnos a la noche,fue_publicado_por,Editorial Libros de México
"Domingo Moreno Jimenes, apóstol de la poesía",fue_publicado_por,Taller
Moctezuma y Cuauhtémoc,fue_publicado_por,REI
Los símbolos patrios,fue_publicado_por,"Ministerio de Educación, Dirección de Publicaciones"
Una hazaña de las muchas de don Antonio Rojas y otras historias,fue_publicado_por,"Universidad Nacional Autónoma de México, Instituto de Investigaciones Filológicas"
"Noticias sobre Juan Rulfo, 1784-2003",fue_publicado_por,Fondo de Cultura Económica
Conjunciones y disyunciones,fue_publicado_por,Arcade Pub.
Trece apuestas al teatro,fue_publicado_por,Gobierno del Estado de Colima
Diarios de Motocicleta,fue_publicado_por,Centro de Estudios Che Guevara
Essays,fue_publicado_por,Harcourt Brace Jovanovich
Historia actualidades e importancia del Gatt,fue_publicado_por,"Fundación Uruguaya para el Fomento de la Cultura, la Ciencia y la Tecnologia"
Crónica de una muerte anunciada,fue_publicado_por,Meulenhoff Boekerij B.V.
Los Nombres que nos nombran,fue_publicado_por,Magna Terra Editores
